Unnamed: 0.1,Unnamed: 0,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
13842829,10454593,1235,2010-09-09 23:00:05,2010-07-04 02:40:31,42,0.14 - 0.42 µm,0.009,0.0,0.0422,0.0001,0.0752,0.60409,1.9377,0.3761,1.3093,0.0101,0.0056,0.015,0.005,0.167,58.44,0.0,0.8268,0.9859,12.0324,0.0,0.3857,0.992,0.133,0.0,0.0,0.0253,4.6518,0.0,2.1548,3.831,0.0
9808354,3644681,1156,2011-11-13 00:26:04,2010-11-13 01:20:52,42,1.2 - 3.5 µm,17.358,2.0235,0.0114,0.0759,0.0794,0.20495,0.0028,0.1917,0.2738,0.0,0.0,0.302,0.049,0.855,0.0,0.0,0.8268,0.0,0.0048,2373.0891,0.3857,0.983,5.176,0.5178,0.1129,0.0466,0.0,0.0,2.6974,0.0,1.032
6180296,5608464,1200,2011-05-22 04:49:45,2011-02-17 00:13:19,42,0.42 - 1.2 µm,17.358,1.1181,0.0,0.0897,0.0,0.36318,1.9377,0.0006,0.6843,0.0101,0.0049,0.026,0.009,0.7,1242.9,0.0,0.8926,2.4695,5.7896,346.0417,2.2686,0.146,1.34,2.8868,0.0,0.0431,5.0048,0.0,0.0,1.722,1.032
10854006,15769834,1220,2010-04-05 21:51:48,2010-11-13 12:58:43,42,0.42 - 1.2 µm,9.009,2.7008,0.0323,0.0546,0.2462,0.30661,2.0238,0.1917,0.1386,0.0101,0.0042,0.259,0.106,0.231,752.8,0.0,1.8812,2.5908,0.0048,277.4121,0.1494,0.01,0.534,0.0,0.0957,0.0361,0.0,1.3087,0.0,4.381,1.917
743762,12222591,1007,2010-06-08 13:08:40,2010-09-06 07:56:58,42,0.05 - 0.14 µm,0.009,1.2544,0.0,0.0813,0.4122,0.46909,3.6168,0.1917,0.27,0.0182,0.0012,0.228,0.0,0.393,654.25,99.8471,0.0,3.0245,3.1942,792.7178,0.3857,0.433,0.0,0.4376,0.0068,0.0753,0.5207,0.0,6.2324,4.4442,0.596
8412743,13282325,1011,2010-08-05 03:07:33,2011-02-17 00:13:19,42,0.14 - 0.42 µm,17.358,0.5217,0.022,0.0787,0.0399,0.44872,5.1417,0.1802,0.0,0.0101,0.0084,0.259,0.049,0.307,1074.37,0.0,0.0,0.8978,5.7896,1571.4364,0.3304,0.58,0.0,0.7275,0.0471,0.0,5.0209,0.0,7.3415,2.966,0.0
13270010,4952719,1145,2010-04-23 10:22:42,2010-08-16 09:29:10,42,0.42 - 1.2 µm,12.265,3.0775,0.0365,0.0642,0.2504,0.39971,7.0972,0.2543,0.7776,0.0185,0.0114,0.637,0.049,0.307,532.73,28.2838,0.8268,0.7157,8.9161,0.0,0.9399,0.329,0.0,0.5178,0.0,0.0583,0.0,0.0,13.712,2.2344,0.909
3753218,3789661,1277,2011-09-18 16:54:03,2010-10-11 20:44:41,42,3.5 - 10 µm,17.358,2.7192,0.022,0.0001,0.0,0.20004,1.9377,0.2193,0.5901,0.0058,0.0011,0.169,0.049,0.062,1374.72,138.1422,0.9711,4.4627,5.7896,346.0417,0.0072,2.167,0.0,0.9934,0.2214,0.0431,10.6068,0.0,9.5961,0.0,0.0
13440955,16587930,1259,2010-09-20 18:04:00,2011-02-17 00:13:19,42,1.2 - 3.5 µm,0.009,1.3221,0.0181,0.0787,0.222,0.28245,1.0921,0.2245,0.656,0.0101,0.017,0.208,0.0,0.43,329.06,0.0,0.8268,2.7885,7.6144,1458.023,0.5409,0.388,1.036,0.2523,0.0796,0.0024,0.0,0.0,0.0,1.722,0.245
3357237,8955695,1298,2012-02-20 11:58:00,2010-05-03 11:02:37,42,3.5 - 10 µm,17.358,1.1181,0.0881,0.0065,0.1436,0.28245,2.1428,0.1917,0.5901,0.0101,0.0,0.39,0.049,0.307,804.75,28.2838,0.6226,0.8978,0.0048,346.0417,0.3857,0.388,3.612,5.4658,0.2086,0.0431,5.0209,0.7628,25.3365,7.5623,2.285
16764193,10794163,1233,2011-10-18 22:51:39,2010-12-22 03:22:55,42,0.14 - 0.42 µm,91.834,0.0,0.022,0.0546,0.0,0.52673,0.0028,0.5649,0.5901,0.0101,0.0042,0.143,0.139,0.494,0.0,0.0,0.0,0.0,5.7896,394.2924,1.3367,0.878,1.106,0.5178,0.3656,0.0,0.0,0.0,23.8741,0.0,1.032
4159581,4900880,994,2010-01-11 17:05:02,2010-09-12 07:31:39,42,1.2 - 3.5 µm,36.087,2.2511,0.012,0.0536,0.2504,0.2572,1.2872,0.0575,0.5901,0.0,0.0012,0.297,0.0,0.307,329.06,104.4328,0.0,1.2617,0.0273,346.0417,0.0072,0.433,1.121,0.5178,0.0,0.0,9.0675,0.7628,2.1468,1.9949,0.792
10685917,13928266,1338,2011-03-03 09:47:05,2011-01-19 06:01:57,42,1.2 - 3.5 µm,46.537,0.0,0.0331,0.1916,0.0,0.28245,5.149,0.2211,0.2627,0.0101,0.0042,0.386,0.049,0.071,0.0,47.9961,2.8984,0.0,0.0048,0.0,0.0072,0.491,2.625,1.0095,0.0412,0.0096,2.4538,1.8904,0.0,1.722,1.032
14491545,11931517,1220,2012-01-26 11:47:39,2011-02-17 00:13:19,42,1.2 - 3.5 µm,17.358,0.3417,0.022,0.0546,0.1173,0.00125,3.2717,0.4702,0.5901,0.0101,0.0,0.304,0.0,0.758,343.72,0.0,4.1176,0.0,3.4964,1067.9213,0.0072,0.256,0.689,0.0,0.1288,0.0431,4.4479,6.4549,15.4181,1.722,7.116
16619667,16807,1459,2011-11-14 04:06:19,2010-10-21 08:19:15,42,1.2 - 3.5 µm,17.049,0.0,0.0431,0.1217,0.0,0.65302,1.3282,0.1917,0.5901,0.0139,0.0042,0.782,0.0,0.0,0.0,28.2838,0.0,0.0,23.7173,0.0,0.0254,0.01,0.0,0.0,0.076,0.0041,6.0541,0.0,46.5077,0.0,1.032
11890344,3367811,1144,2010-10-23 01:30:55,2011-04-21 14:08:40,42,0.14 - 0.42 µm,0.009,1.1181,0.0,0.1241,0.0945,0.64409,3.3241,0.1917,0.476,0.0,0.0131,0.0,0.049,0.307,0.0,86.4618,0.2983,1.4377,0.0048,1166.2122,0.5638,0.147,1.106,0.8978,0.0666,0.1526,0.0,0.0,8.594,1.7053,1.74
3472888,14005712,1220,2010-01-28 11:42:04,2010-05-20 08:20:32,42,3.5 - 10 µm,25.835,0.7204,0.0058,0.0316,0.4923,0.3909,5.7116,0.0226,0.3994,0.0124,0.0095,0.0,0.001,0.35,17.11,35.2753,0.8268,1.6605,0.0048,481.4361,0.3857,0.596,0.0,0.0,0.0,0.0431,8.3953,0.7628,8.4584,1.1473,0.506
12157957,8456694,1263,2012-01-24 04:32:31,2010-10-12 01:48:57,42,0.42 - 1.2 µm,0.009,1.3016,0.0273,0.0001,0.1392,0.58072,1.5913,0.1917,0.7095,0.0,0.0,0.358,0.049,0.266,260.92,28.2838,0.69,0.8978,38.9219,1847.9245,0.3857,0.01,2.872,0.7506,0.0,0.0431,5.0209,0.7628,6.2324,4.6252,0.0
15981384,4700681,1108,2011-02-19 02:04:11,2011-10-23 09:07:21,42,0.42 - 1.2 µm,20.103,0.1939,0.0311,0.0627,0.0848,0.63811,3.2224,0.5424,0.7481,0.0034,0.0042,0.474,0.0,0.307,291.43,108.5538,0.2247,0.1497,12.6413,271.4491,0.3857,0.552,0.174,0.5927,0.0499,0.0,0.0,0.0,20.4687,1.722,2.886
14348761,16486495,1220,2010-02-17 01:49:42,2010-11-17 00:28:06,42,1.2 - 3.5 µm,12.42,2.3314,0.022,0.1234,0.1991,0.03514,2.1296,0.341,0.0,0.0101,0.0055,0.178,0.0,0.0,329.06,0.0,0.724,2.5742,5.7896,346.0417,0.1457,0.395,0.47,0.5178,0.0,0.0,5.0209,1.1436,0.0,0.0,1.532
5404780,248198,1194,2010-02-09 08:13:58,2011-02-17 00:13:19,42,0.14 - 0.42 µm,17.358,1.737,0.0392,0.0124,0.3435,0.1757,1.9377,0.1917,0.4594,0.0027,0.0,0.0,0.025,0.073,0.0,48.8947,0.6633,0.0,0.0048,172.9431,0.0072,0.432,0.0,0.0,0.1238,0.0431,5.0209,0.7628,0.4079,3.0142,1.032
2703643,3027016,1063,2010-01-20 01:09:32,2010-09-18 07:20:20,42,0.42 - 1.2 µm,0.923,0.0,0.0,0.1511,0.064,0.5864,3.5229,0.2806,0.4564,0.0101,0.0,0.41,0.052,0.465,356.47,4.9214,1.0021,2.7783,0.1156,0.0,0.1818,0.388,1.23,0.0,0.0,0.0,11.1625,1.5256,1.4883,2.7028,0.614
6073853,7630597,1252,2011-12-20 14:29:24,2011-01-08 09:38:35,42,1.2 - 3.5 µm,0.009,1.4197,0.022,0.0521,0.2834,0.00125,0.0028,0.4536,0.5901,0.0,0.0,0.073,0.0,0.402,634.44,23.9017,2.0296,0.0,46.8871,0.0,0.3857,0.01,1.106,4.809,0.2562,0.0,6.1044,0.0,6.2324,1.722,0.0
11585553,11225585,1393,2011-11-11 08:05:41,2011-02-17 00:13:19,42,0.42 - 1.2 µm,17.358,0.0,0.022,0.0546,0.0,0.45845,2.5693,0.316,0.5901,0.0,0.0086,0.569,0.049,0.01,0.0,152.6693,0.8268,0.794,19.8539,703.8069,1.1174,0.388,0.0,1.3426,0.1983,0.0431,0.0,0.7628,2.7433,4.0743,0.0
2586608,1713737,1220,2010-03-16 00:07:31,2010-08-28 23:48:00,42,0.42 - 1.2 µm,17.358,2.2678,0.0,0.1019,0.2604,0.35744,6.4617,0.1934,0.7648,0.0,0.0,0.163,0.005,0.307,473.46,22.7422,0.0,0.0,0.0048,0.0,0.0072,0.181,1.106,0.5365,0.0,0.0,0.5376,0.7628,0.0,1.722,0.538
8208114,10009482,1070,2010-02-04 07:03:53,2011-01-14 23:10:21,42,3.5 - 10 µm,20.119,1.5056,0.0,0.1013,0.2502,0.1796,2.9122,0.1555,0.2384,0.0,0.0,0.054,0.063,0.084,45.27,28.2838,0.0,0.1801,5.985,5.9498,0.3857,0.755,0.0,0.5178,0.0096,0.1462,0.0,0.1779,0.0591,0.0,3.139
16418781,14014870,1072,2010-06-15 09:48:54,2010-05-16 05:46:49,42,3.5 - 10 µm,14.254,0.0,0.0094,0.1029,0.5518,0.09626,2.3051,0.233,0.3161,0.023,0.006,0.0,0.047,0.532,564.68,88.0679,3.1557,1.8713,12.5904,346.0417,0.7566,0.665,1.563,0.0,0.0,0.0,0.0,1.1514,0.0,0.1916,1.032
16445751,15907459,1220,2010-09-27 23:48:36,2011-01-27 00:15:34,42,0.14 - 0.42 µm,17.358,0.0,0.0,0.0767,0.2078,0.28245,3.633,0.0922,0.5901,0.0101,0.0144,0.0,0.066,0.109,0.0,28.2838,0.1918,0.8346,0.0048,75.7881,0.0072,1.168,1.106,1.8912,0.076,0.0,0.0,1.8469,16.5979,6.522,2.178
9474796,8109211,1031,2010-01-12 07:21:07,2010-07-09 05:10:40,42,0.14 - 0.42 µm,43.761,1.1181,0.0075,0.1093,0.0105,0.14107,5.0306,0.121,0.5901,0.0026,0.0,0.259,0.049,0.0,165.88,0.0,0.0,1.0214,10.1027,48.2548,0.3417,0.01,0.0,0.5178,0.0187,0.0,5.0209,0.0,0.0,0.0,0.824
8187147,11606049,1304,2011-06-01 23:00:16,2011-04-12 18:59:45,42,1.2 - 3.5 µm,30.819,0.7693,0.0116,0.0549,0.5188,0.00125,0.3886,0.0006,0.5901,0.0,0.0263,0.163,0.049,0.307,140.88,28.2838,0.8767,1.7674,12.2606,346.0417,0.9153,0.382,3.621,2.3999,0.1407,0.0607,16.7275,0.0,6.2324,4.7454,1.032
10049737,9418159,1239,2012-02-19 13:43:48,2010-01-30 11:40:17,42,0.42 - 1.2 µm,0.009,1.2805,0.0362,0.0546,0.0,0.07673,0.0028,0.2863,0.5901,0.0123,0.0151,0.007,0.0,0.992,261.05,0.1334,0.8268,0.8978,34.9543,346.0417,0.0072,0.388,0.0,0.2869,0.0,0.076,15.4344,0.7628,6.2324,0.0,0.0
11995442,13602866,1220,2011-06-05 04:49:28,2011-02-17 00:13:19,42,3.5 - 10 µm,0.009,0.0,0.022,0.006,0.1289,0.42055,0.0028,0.0006,1.9629,0.0344,0.0,0.034,0.048,0.087,1156.99,28.2838,1.391,3.5819,52.7866,346.0417,0.6227,0.388,1.106,4.1647,0.0,0.0527,0.0,0.0,0.0,1.4963,0.0
9376348,520156,1101,2010-10-19 15:19:40,2011-08-07 21:34:39,42,1.2 - 3.5 µm,0.009,2.0217,0.022,0.1126,0.0,0.68507,3.1016,0.1917,0.0,0.0063,0.0065,0.259,0.086,0.0,667.39,28.2838,1.7565,2.6638,21.0111,309.8477,0.3857,0.4,1.961,0.5178,0.1146,0.0431,6.9456,1.8464,0.0,0.0,2.796
7798548,7225740,1031,2010-02-20 10:52:04,2011-02-17 00:13:19,42,3.5 - 10 µm,46.591,1.1181,0.0434,0.1004,0.0,0.55394,6.8229,0.0702,0.5901,0.0,0.0049,0.225,0.049,0.307,736.61,0.0,0.588,1.1967,0.0048,346.0417,0.6825,0.388,0.031,0.0,0.0,0.011,0.0,0.4795,0.0,1.533,0.627
15263923,8491953,1397,2010-11-09 12:00:42,2011-02-14 08:10:28,42,3.5 - 10 µm,17.358,1.1181,0.0282,0.0899,0.6006,0.68243,2.9694,0.1356,0.4259,0.0101,0.0,0.0,0.049,0.307,0.0,28.2838,1.6772,2.4383,0.0048,346.0417,0.6123,0.058,3.037,0.6223,0.043,0.0,0.0,0.0,2.7526,0.0,0.44
8952,13545549,1190,2011-09-20 10:29:14,2011-02-17 00:13:19,42,3.5 - 10 µm,0.009,3.2895,0.0868,0.035,0.0009,0.28245,1.2731,0.3919,0.5901,0.0101,0.0168,0.0,0.0,0.497,329.06,28.2838,2.7073,0.0,0.0048,0.0,0.5607,1.088,2.598,3.3436,0.0541,0.1249,0.0,3.5432,23.0423,14.3653,1.032
11568610,11940133,1227,2010-12-25 18:46:36,2011-02-17 00:13:19,42,0.42 - 1.2 µm,17.358,2.0128,0.0405,0.0036,0.0038,0.83034,7.3663,0.1934,0.3732,0.0101,0.0042,0.455,0.009,0.489,0.0,174.3677,0.1298,0.0,1.3257,542.7597,0.0072,1.029,0.0,0.0,0.0,0.0429,0.0,0.0,9.5627,2.3628,0.0
16259921,13798269,1381,2010-08-27 13:26:59,2011-02-17 00:13:19,42,0.05 - 0.14 µm,46.253,3.1022,0.0717,0.1546,0.1406,0.08521,1.9377,0.0174,1.1336,0.0034,0.0,0.259,0.049,0.278,274.2,0.0,0.9945,1.0223,14.9342,229.285,0.0323,0.884,1.432,0.635,0.0007,0.0431,5.0209,2.147,13.041,0.0,1.632
13646640,4608135,1101,2010-08-18 03:14:42,2011-02-17 00:13:19,42,1.2 - 3.5 µm,3.472,1.1181,0.022,0.0763,0.0,0.35361,3.4298,0.0019,0.2964,0.006,0.0,0.346,0.004,0.307,664.13,0.0,0.0,0.8978,0.0048,0.0,0.3857,1.83,0.0,1.3489,0.1106,0.0025,4.9198,0.7628,6.2324,2.4274,2.475
4247629,5214804,1288,2010-05-26 21:36:26,2010-12-31 19:37:59,42,1.2 - 3.5 µm,29.568,1.464,0.0132,0.113,0.1874,0.50594,4.0501,0.3253,0.5901,0.0094,0.0,0.077,0.031,0.485,927.81,28.2838,0.0,1.07,0.0048,102.484,0.8743,0.234,0.0,0.0,0.0732,0.0431,14.2329,0.6138,6.2324,1.722,2.067
2090656,9812295,1041,2010-08-21 22:49:52,2010-10-18 16:52:12,42,3.5 - 10 µm,36.934,2.406,0.022,0.0741,0.4075,0.00125,5.3386,0.238,0.5901,0.0107,0.0042,0.0,0.151,0.549,417.37,28.2838,1.0101,1.0898,6.7449,1375.1139,0.0072,0.273,0.795,0.9341,0.0446,0.0199,8.5171,0.7628,6.2324,0.0,0.0
11698007,11408466,1220,2012-01-28 06:10:50,2011-11-26 09:23:24,42,0.42 - 1.2 µm,106.969,1.1181,0.0065,0.0927,0.3843,0.38907,0.3678,0.1917,0.0535,0.0079,0.0042,0.044,0.123,0.859,845.83,0.0,0.0,0.8978,0.0048,0.0,0.3857,0.388,0.0,0.5178,0.4096,0.0431,5.0209,2.3695,6.2324,1.722,4.097
3995909,16397071,1113,2011-07-17 02:07:32,2011-02-17 00:13:19,42,0.05 - 0.14 µm,17.358,0.4123,0.0576,0.0546,0.0,0.28245,5.0414,0.2265,1.4814,0.0037,0.0,0.467,0.049,0.19,632.36,93.7395,3.6313,0.0,11.0576,732.4838,0.5654,0.747,0.578,0.5178,0.0083,0.0,5.0209,1.7918,6.2324,6.0813,1.032
1751485,262138,1238,2011-12-31 03:20:01,2011-04-08 06:06:13,42,0.42 - 1.2 µm,4.609,2.6069,0.066,0.0175,0.1406,0.28245,0.0028,0.3073,0.8177,0.0177,0.0114,0.259,0.0,0.307,329.06,28.2838,0.0,1.6531,5.7896,346.0417,0.3857,0.01,1.911,0.0,0.0406,0.0769,5.0209,0.7628,3.7892,17.5844,1.032
16075789,10921559,1278,2010-05-01 21:00:05,2010-05-01 21:20:30,42,3.5 - 10 µm,36.835,0.7952,0.0285,0.0422,0.2536,0.24015,4.0375,0.2205,0.3052,0.0101,0.0169,0.155,0.0,0.099,0.0,29.2309,0.0,0.0,0.0048,346.0417,0.0072,0.158,1.106,0.5178,0.0,0.0,5.0209,0.0,6.2324,1.7495,2.132
16021216,11636092,1338,2012-02-12 01:40:11,2011-04-14 07:20:47,42,0.05 - 0.14 µm,17.358,1.6992,0.0,0.0546,0.1894,0.25353,6.4784,0.1893,1.318,0.0,0.0,0.116,0.049,0.0,329.06,27.647,4.6813,0.0,5.7896,584.1574,1.0956,1.402,2.513,2.9895,0.2124,0.0431,5.3731,0.7628,6.2324,0.0,3.957
6014719,9882768,1390,2012-02-18 12:41:33,2010-09-28 02:11:13,42,0.14 - 0.42 µm,17.358,0.0,0.022,0.0546,0.2595,0.28245,1.9377,0.2592,0.5901,0.0138,0.0228,0.384,0.051,0.0,1181.28,28.2838,0.8268,0.0,5.1145,0.0,0.3857,0.399,1.028,5.8047,0.0,0.1586,28.1384,0.0,17.4246,0.0,0.0
2172565,3765399,1117,2011-06-18 17:04:58,2011-02-17 00:13:19,42,1.2 - 3.5 µm,29.286,0.0,0.022,0.1081,0.2112,0.45122,3.1311,0.3044,0.0,0.0091,0.0194,0.0,0.0,0.881,134.76,28.2838,1.7506,0.0,5.7896,0.0,0.3857,0.388,0.985,0.0,0.0,0.0,7.6033,2.7003,6.2324,5.0355,1.032
15063498,2674312,1220,2012-02-20 11:58:00,2011-09-28 20:26:44,42,1.2 - 3.5 µm,0.009,0.0,0.0141,0.0165,0.1406,0.00125,3.1721,0.1917,1.124,0.0,0.0,0.481,0.168,0.175,877.25,72.3789,0.8268,0.8978,2.639,346.0417,0.0072,0.388,2.181,0.5178,0.076,0.0431,2.5713,0.0,33.0873,11.0818,0.0
6524611,9863602,1494,2011-10-17 05:41:43,2011-02-17 00:13:19,42,0.42 - 1.2 µm,33.586,3.2346,0.0312,0.0546,0.0,0.01264,3.2767,0.3503,0.5901,0.0061,0.0093,0.259,0.0,1.317,0.0,0.0,0.4626,3.7957,9.9709,346.0417,0.7291,0.388,0.0,0.0,0.0798,0.2393,17.9982,1.1484,21.8735,0.0,2.378
13546808,16604455,1228,2010-01-12 15:30:43,2011-02-17 00:13:19,42,0.42 - 1.2 µm,14.12,1.6045,0.022,0.0397,0.0085,0.19426,1.9377,0.1917,0.4637,0.0025,0.0108,0.121,0.056,0.294,391.28,39.2932,0.1357,1.126,0.0048,0.0,0.0072,0.259,1.671,0.0,0.0,0.0,2.4363,0.0,0.0,1.722,0.135
11469678,11566541,1160,2012-02-14 02:13:38,2010-10-28 01:08:56,42,1.2 - 3.5 µm,0.009,0.6075,0.022,0.0546,0.3504,0.75014,0.0028,0.1917,0.9095,0.0322,0.0,0.067,0.124,0.307,329.06,28.2838,0.5456,4.9629,0.0048,460.6731,0.7342,1.445,2.964,0.5178,0.0,0.2928,0.6156,0.7628,6.2324,1.722,3.024
11144367,13774302,1036,2010-04-13 06:30:26,2011-02-17 00:13:19,42,0.05 - 0.14 µm,17.358,2.6932,0.0,0.0227,0.2398,0.59986,1.9377,0.0006,0.012,0.0101,0.0042,0.206,0.045,0.0,67.03,0.0,0.0,2.0493,0.0048,0.0,0.0072,0.01,1.106,0.2689,0.0546,0.0,9.1498,0.7628,4.4852,0.9736,1.032
15303969,15973855,1140,2011-08-16 09:48:52,2012-01-11 23:40:46,42,3.5 - 10 µm,0.009,0.7125,0.022,0.0419,0.2858,0.59107,0.0028,0.0712,0.8211,0.0,0.0042,0.605,0.049,0.0,329.06,49.3196,0.0,0.0,13.7996,346.0417,0.2135,0.388,1.815,0.9903,0.076,0.0,9.1874,0.0,7.4063,0.0,1.032
11123377,11658484,1220,2010-07-07 18:08:23,2011-08-20 02:33:41,42,3.5 - 10 µm,17.358,3.4186,0.022,0.0546,0.2156,0.00125,5.3951,0.0811,1.0014,0.0,0.0005,0.007,0.089,0.317,593.93,0.0,0.8268,1.0714,6.8666,0.0,0.3857,0.074,0.0,0.0,0.0587,0.015,0.0,1.0106,9.097,0.0,0.0
