No,Date/Time,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3],Duration,Date/time end
6977084,2011-07-01 14:00:46,42,1.2 - 3.5 µm,1.179,0.0007,0.0006,0.0003,0.0017,0.01306,0.0034,0.0015,0.0055,0.0002,0.0,0.32,0.001,0.22,28.79,20.227,0.7118,1.9571,18.9308,51.4404,0.9197,0.132,0.334,0.0606,0.3171,0.0023,0.1483,0.0515,2.3283,3.4854,0.162,0.0,2011-07-01 14:00:46
11502859,2012-01-20 07:25:47,42,0.14 - 0.42 µm,0.046,0.001,0.0001,0.0003,0.0,0.19648,0.0043,0.0112,0.0099,0.0001,0.0004,0.37,0.053,0.32,0.02,0.0002,0.0019,0.0133,0.1054,0.0012,0.0238,0.241,0.036,0.0022,0.1284,0.0,0.0001,0.001,0.013,0.0,0.003,0.0,2012-01-20 07:25:47
8627165,2012-02-15 10:26:58,42,3.5 - 10 µm,75.216,0.8972,0.0583,0.1173,0.1728,0.15808,1.4608,0.1512,0.9689,0.0303,0.0071,0.458,0.079,0.715,283.01,16.1664,2.3355,3.1395,1.8088,385.5225,1.6081,0.462,0.81,1.39,0.0065,0.0144,7.5033,2.1762,82.0349,12.0409,1.072,0.0,2012-02-15 10:26:58
5844951,2011-06-16 11:34:46,42,3.5 - 10 µm,14.49,2.1347,0.0005,0.0009,0.1053,0.08558,3.2976,0.2944,0.2989,0.0014,0.0014,0.488,0.002,0.457,375.31,65.9254,0.5936,2.467,5.4417,492.4539,0.2112,1.864,1.141,0.96,0.0055,0.0766,6.3489,1.2644,1.3348,1.2162,0.029,0.0,2011-06-16 11:34:46
13280760,2011-08-12 16:20:59,42,3.5 - 10 µm,110.579,7.1673,0.006,0.2648,1.0607,0.77025,10.5507,0.6855,3.4281,0.0258,0.0037,0.514,0.082,0.563,706.89,125.6826,3.5832,1.5206,38.4229,1226.7389,1.5254,3.256,1.207,1.9584,0.117,0.0603,16.455,5.6961,41.1694,1.8346,0.945,0.0,2011-08-12 16:20:59
16755389,2011-02-04 20:57:37,42,1.2 - 3.5 µm,62.48,1.2246,0.0099,0.0201,0.0462,0.43135,2.6168,0.0947,2.1381,0.0146,0.0004,0.652,0.562,1.88,1236.85,60.0349,1.3706,2.8111,0.1991,661.6018,1.6066,0.851,2.853,1.7881,0.0061,0.0067,15.126,3.3613,9.0652,2.5864,0.122,75482.0,2011-02-05 17:55:39
15775632,2011-10-15 13:26:47,42,0.42 - 1.2 µm,14.835,0.7543,0.0636,0.0934,0.2017,0.2641,0.5716,0.0452,1.0978,0.0352,0.0006,0.278,0.122,0.279,293.61,7.3137,1.0889,0.7971,5.5122,177.1998,1.1973,0.618,2.96,3.2483,0.0722,0.2655,5.8672,0.3279,0.1452,0.0069,0.013,0.0,2011-10-15 13:26:47
5884948,2011-04-01 05:01:23,42,0.05 - 0.14 µm,0.61,0.0,0.0258,0.0003,0.0,0.01044,0.0028,0.0008,0.0116,0.0009,0.0001,0.037,0.014,0.021,0.59,0.1775,0.2513,0.0285,0.2478,0.3057,0.1971,0.134,0.392,0.0095,0.0023,0.0004,0.0017,0.0655,0.0024,0.0095,0.003,117062.0,2011-04-02 13:32:25
625527,2010-12-26 23:04:31,42,0.14 - 0.42 µm,2.098,0.1337,0.0124,0.0003,0.0225,0.11175,0.3374,0.1001,0.4958,0.0036,0.0006,0.181,0.002,0.13,861.93,19.6225,3.3181,2.8961,11.2729,734.7168,0.2819,0.124,1.521,1.3414,0.0047,0.0535,9.5983,0.5723,0.5189,0.1189,0.003,84810.0,2010-12-27 22:38:01
14249408,2011-05-04 17:53:22,42,1.2 - 3.5 µm,101.631,2.0653,0.0478,0.0317,0.0936,0.72107,3.3485,0.7901,2.0397,0.0315,0.0024,1.162,0.199,1.442,851.68,42.098,0.0981,1.3148,1.321,1328.869,0.1425,0.133,1.424,1.7424,0.0033,0.0196,27.0467,2.9332,0.0551,13.9006,1.988,102110.0,2011-05-05 22:15:12
1426459,2010-03-20 04:55:38,42,3.5 - 10 µm,17.502,4.8989,0.0,0.0309,0.6709,0.26689,10.2069,0.1786,0.6253,0.005,0.0007,0.085,0.022,0.104,66.66,3.8271,0.2363,0.1518,0.072,22.6947,0.0258,0.033,0.131,0.0127,0.0178,0.0115,1.2532,0.0983,0.0024,0.0088,0.003,32823.0,2010-03-20 14:02:41
315641,2010-05-27 17:58:47,42,3.5 - 10 µm,82.801,9.0424,0.0015,0.0587,0.9426,0.50438,19.6356,1.8493,2.3442,0.06,0.0131,0.643,0.023,0.61,2014.42,249.9145,5.7653,2.7811,38.1741,2521.437,1.3475,0.524,2.438,1.2798,0.0561,0.2245,41.7073,4.1828,197.8027,17.9689,1.394,87509.0,2010-05-28 18:17:16
10475189,2011-09-28 19:36:30,42,0.42 - 1.2 µm,12.6,0.2672,0.0273,0.0005,0.1854,0.09964,0.1157,0.0253,0.5592,0.0016,0.0,0.116,0.002,0.069,435.25,24.5828,1.9569,2.4183,9.8497,552.0601,1.8478,3.877,2.37,1.0372,0.0822,0.0235,4.776,0.4494,48.967,0.0446,0.009,0.0,2011-09-28 19:36:30
14896115,2011-07-26 07:15:04,42,3.5 - 10 µm,48.612,4.237,0.0177,0.1622,0.4773,0.26038,8.4962,0.52,1.0944,0.0112,0.0067,0.559,0.007,0.662,315.58,36.4921,0.3015,2.9407,0.2484,113.5318,1.3915,0.32,0.586,0.1699,0.0015,0.0022,4.6968,1.1095,0.0025,0.061,0.028,0.0,2011-07-26 07:15:04
12531714,2010-02-21 05:54:10,42,0.14 - 0.42 µm,0.079,0.3663,0.0,0.0003,0.0527,0.01628,0.7962,0.0207,0.0851,0.0002,0.0011,0.068,0.082,0.107,1.84,0.018,0.0029,0.0312,0.0085,0.0082,0.1494,0.046,0.045,0.0026,0.0046,0.0005,0.0012,0.0042,0.0024,0.0,0.003,45746.0,2010-02-21 18:36:36
5400226,2010-01-11 20:28:48,42,0.14 - 0.42 µm,0.254,0.2057,0.0033,0.0013,0.0419,0.35318,0.0881,0.0967,0.262,0.0034,0.0001,0.011,0.013,0.014,1.96,0.0054,0.0451,0.0046,3.5331,0.0429,0.0287,0.104,0.416,0.0048,0.097,0.1142,0.0071,0.0011,1.4568,0.0,0.004,176495.0,2010-01-13 21:30:23
6212213,2010-07-22 09:57:19,42,0.42 - 1.2 µm,0.973,0.5309,0.0021,0.0096,0.1658,0.10989,0.6702,0.2329,0.2075,0.0043,0.0004,0.068,0.026,0.056,12.06,0.143,0.0318,0.132,1.3452,1.0308,0.011,0.073,0.307,0.0177,0.0654,0.0389,0.0873,0.0017,0.1674,0.0202,0.028,2566.0,2010-07-22 10:40:05
8192857,2012-01-07 13:07:30,42,0.05 - 0.14 µm,0.214,0.0008,0.0064,0.0003,0.0059,0.06494,0.003,0.0067,0.1011,0.0004,0.0007,0.007,0.023,0.025,59.89,2.5945,1.3446,0.9131,1.8648,36.2082,0.9087,0.336,0.868,0.2954,0.0131,0.048,0.6179,0.0472,0.976,0.0036,0.062,0.0,2012-01-07 13:07:30
850659,2012-01-13 11:39:39,42,0.05 - 0.14 µm,0.02,0.0004,0.0099,0.0003,0.0,0.00792,0.0029,0.0007,0.0572,0.0001,0.0,0.04,0.048,0.035,0.56,0.0047,0.4784,0.0127,0.0072,0.0094,0.0758,0.025,0.081,0.0737,0.0015,0.0011,0.0016,0.0012,0.0024,0.0011,0.003,0.0,2012-01-13 11:39:39
13782718,2010-01-27 05:36:26,42,0.14 - 0.42 µm,7.055,0.0423,0.0,0.0003,0.0277,0.27687,0.0739,0.1176,0.173,0.001,0.0,0.071,0.06,0.064,3.89,0.2126,0.0041,0.3471,0.0147,1.9748,0.0476,0.053,0.328,0.122,0.0016,0.0,0.1949,0.0321,0.0024,1.9282,0.106,134979.0,2010-01-28 19:06:05
14681397,2011-12-07 09:49:20,42,0.42 - 1.2 µm,13.99,0.9663,0.0114,0.0009,0.056,0.83545,1.7902,0.1967,0.5704,0.0125,0.0014,0.614,0.117,0.615,183.17,63.7959,0.0358,0.5153,1.6819,166.2645,0.0472,0.082,1.24,0.168,0.1751,0.0002,1.4373,2.1262,0.0186,5.8644,0.593,18257.0,2011-12-07 14:53:37
3085355,2010-05-19 07:41:29,42,3.5 - 10 µm,131.075,5.7822,0.0012,0.1479,0.6484,1.08299,11.5366,1.6014,1.9385,0.0609,0.0005,1.119,0.069,1.554,2336.85,67.1054,0.1749,1.1145,45.315,1838.0606,0.9868,2.969,3.18,1.418,0.0017,0.1018,27.5254,3.9209,92.6218,2.6783,1.792,22034.0,2010-05-19 13:48:43
16418721,2012-02-20 11:58:00,42,0.05 - 0.14 µm,5.153,0.1065,0.0182,0.0003,0.0132,0.07215,0.1317,0.0051,0.7346,0.0154,0.0001,0.52,0.018,1.247,286.15,35.2414,0.7209,3.5063,6.1288,297.8347,1.1254,0.16,0.801,1.6089,0.0437,0.021,2.0851,1.3795,0.0081,3.4278,0.04,0.0,2012-02-20 11:58:00
757850,2012-02-09 10:09:26,42,0.14 - 0.42 µm,0.341,0.003,0.0256,0.0003,0.0001,0.02747,0.0067,0.0112,0.105,0.0007,0.0008,0.236,0.074,0.35,187.31,5.4511,0.0134,0.4962,0.4821,138.8459,0.497,0.092,2.269,0.8728,0.0738,0.0594,1.6544,0.245,0.0024,0.0,0.021,0.0,2012-02-09 10:09:26
11446429,2012-01-19 13:55:52,42,0.05 - 0.14 µm,13.78,0.3203,0.0105,0.0005,0.0439,0.6308,0.2686,0.0886,1.1438,0.0153,0.0005,0.296,0.012,0.46,284.38,17.7889,1.6476,2.095,1.5124,240.6681,0.2009,0.414,1.796,0.4773,0.0568,0.0455,4.3345,0.4035,0.0917,1.5072,0.108,0.0,2012-01-19 13:55:52
14006852,2011-01-29 04:09:31,42,0.14 - 0.42 µm,2.214,0.4274,0.0042,0.0007,0.0761,0.04066,0.8495,0.0418,0.1886,0.0027,0.0011,0.086,0.046,0.11,67.65,4.1098,0.4918,0.3357,1.6305,89.9109,0.0935,0.041,1.329,0.2157,0.0148,0.0947,0.7206,0.051,1.4949,0.0616,0.147,83375.0,2011-01-30 03:19:06
81549,2010-10-06 20:56:54,42,3.5 - 10 µm,14.975,2.4337,0.0014,0.0176,0.1928,0.12321,3.722,0.2252,0.4558,0.0076,0.0002,0.194,0.06,0.379,73.97,5.7132,0.0454,0.545,0.5811,80.4671,0.23,1.558,0.885,0.2989,0.0379,0.0187,1.3452,0.2363,0.0024,0.1458,0.005,0.0,2010-10-06 20:56:54
6956168,2010-09-19 16:20:32,42,0.42 - 1.2 µm,43.53,6.621,0.0015,0.0267,0.9718,0.97317,13.4907,1.3326,2.141,0.0103,0.0033,0.734,0.022,0.683,1633.47,97.7728,0.2628,2.9424,16.1454,2671.2499,0.828,1.904,3.2,1.8967,0.9366,0.1365,26.5707,3.5876,0.0024,2.2782,1.808,0.0,2010-09-19 16:20:32
12364490,2012-01-22 01:39:25,42,3.5 - 10 µm,5.2,0.5695,0.0135,0.0003,0.0393,0.09014,0.9481,0.034,0.271,0.0067,0.0002,0.237,0.079,0.168,29.84,0.0346,0.0059,0.1377,0.088,8.8181,0.1606,0.024,0.059,0.1363,0.0129,0.0005,0.3964,0.0036,0.0025,0.0246,0.007,0.0,2012-01-22 01:39:25
7794582,2012-02-15 17:12:47,42,0.14 - 0.42 µm,1.897,0.0053,0.109,0.0003,0.0008,0.07312,0.0086,0.0081,0.0488,0.0064,0.0003,0.35,0.002,0.333,0.11,0.0127,0.119,0.1484,0.3442,0.1697,0.151,0.045,0.196,0.0405,0.0015,0.0,0.0119,0.0061,0.0024,0.2556,0.003,0.0,2012-02-15 17:12:47
2918446,2010-01-15 16:58:39,42,0.42 - 1.2 µm,17.091,6.8467,0.0004,0.0975,0.5543,0.45562,15.4251,0.5711,1.1565,0.0033,0.0029,0.296,0.019,0.303,265.46,0.0078,0.1756,0.0121,2.7309,29.1013,0.0806,0.091,0.148,0.039,0.2365,0.2528,4.0032,0.001,0.0181,0.0006,0.004,39181.0,2010-01-16 03:51:40
5415624,2010-01-26 13:19:47,42,3.5 - 10 µm,48.261,8.045,0.0027,0.2281,1.0649,0.26341,12.3913,0.24,0.8102,0.0079,0.0037,0.124,0.216,0.11,57.44,0.1228,0.0018,0.0045,5.0533,6.9445,0.0103,0.032,0.118,0.0038,0.212,0.0021,1.3291,0.0162,0.7345,0.3223,0.121,174364.0,2010-01-28 13:45:51
16142221,2010-01-11 21:14:35,42,0.14 - 0.42 µm,26.144,2.7432,0.0002,0.0003,0.1841,0.06535,5.2153,0.2231,0.5029,0.0041,0.0009,0.367,0.143,0.418,37.62,0.4037,0.0907,0.2037,0.5471,13.0042,0.0322,0.186,0.376,0.1405,0.0033,0.0594,2.3134,0.0058,0.0117,0.9976,0.01,75222.0,2010-01-12 18:08:17
11064901,2012-02-20 11:58:00,42,0.05 - 0.14 µm,12.433,0.0033,0.064,0.135,0.0018,1.23216,0.0071,0.1396,0.6135,0.0016,0.0008,0.208,0.059,0.44,11.95,3.3114,0.038,0.3091,2.1271,36.9067,0.4648,0.047,0.541,0.7005,0.01,0.0297,0.0777,0.0524,0.0024,0.0097,0.011,0.0,2012-02-20 11:58:00
302232,2010-09-17 18:21:07,42,0.42 - 1.2 µm,16.133,2.2627,0.02,0.0039,0.3883,0.38444,4.9254,0.3496,0.7402,0.0087,0.0015,0.374,0.071,0.369,31.6,1.478,0.0673,0.5483,0.3055,13.2703,0.0248,0.039,0.375,0.0993,0.0016,0.0017,1.832,0.2062,0.0083,0.1043,0.014,0.0,2010-09-17 18:21:07
3351966,2010-07-10 20:18:27,42,3.5 - 10 µm,11.259,1.2449,0.001,0.0003,0.2432,0.16604,2.6595,0.3079,0.6523,0.007,0.0008,0.055,0.022,0.046,177.74,27.4934,0.1766,1.1772,3.1838,87.2673,0.3246,0.859,1.166,0.0177,0.0015,0.0039,1.7321,0.6704,0.0034,0.7591,0.015,64653.0,2010-07-11 14:16:00
804568,2011-01-15 13:45:37,42,0.42 - 1.2 µm,7.601,0.0646,0.0081,0.0003,0.0163,0.06829,0.0831,0.0019,0.1712,0.0004,0.0011,0.234,0.074,0.222,2.7,5.4688,0.3387,0.0892,0.0852,7.4709,0.1986,0.024,0.04,0.0305,0.0015,0.0,0.0223,0.0276,0.0024,1.7361,0.004,111145.0,2011-01-16 20:38:02
14550358,2011-12-31 07:06:42,42,0.14 - 0.42 µm,4.229,0.0047,0.0166,0.0013,0.0001,0.08992,0.0077,0.0147,0.0451,0.0017,0.0003,0.09,0.007,0.153,2.45,3.7703,0.5616,0.3111,12.1668,16.2978,0.3948,0.032,0.241,0.2206,0.0015,0.0001,0.0891,0.0303,0.019,0.0155,0.003,22115.0,2011-12-31 13:15:17
8104302,2012-02-20 11:58:00,42,0.14 - 0.42 µm,3.79,0.056,0.0447,0.0004,0.0163,0.47339,0.0683,0.3061,0.3983,0.0031,0.0001,0.107,0.003,0.084,123.52,27.3012,0.2117,1.0958,4.1341,229.0277,0.8577,0.276,0.734,1.7559,0.0091,0.1162,1.4925,0.1225,0.1476,0.0029,0.098,0.0,2012-02-20 11:58:00
5090690,2010-06-15 04:11:01,42,0.42 - 1.2 µm,4.227,0.1475,0.0126,0.0003,0.0299,0.0946,0.1444,0.2105,0.2894,0.005,0.0005,0.177,0.007,0.11,363.73,1.8691,0.2351,0.0285,0.2229,129.5511,0.0494,0.024,0.813,0.0875,0.0018,0.1975,3.0358,0.0148,0.0024,0.0333,0.972,97023.0,2010-06-16 07:08:04
7097740,2011-02-15 13:20:15,42,0.14 - 0.42 µm,9.889,0.8358,0.0248,0.0003,0.0888,0.73594,1.3688,0.0884,1.2997,0.0331,0.0008,0.671,0.015,0.729,412.38,56.4479,0.2604,1.4551,0.1751,424.0444,0.1627,0.876,1.596,0.6198,0.018,0.0055,8.7695,0.4149,1.3676,3.7764,0.285,0.0,2011-02-15 13:20:15
15398179,2012-02-02 03:11:42,42,0.42 - 1.2 µm,15.686,1.4164,0.0064,0.0011,0.2329,0.71896,2.1946,0.4549,1.074,0.0133,0.003,0.533,0.048,0.594,914.78,129.1454,0.0781,1.8338,1.7598,1161.8123,0.4157,0.029,1.585,1.327,0.0065,0.001,10.0949,4.0543,3.2246,6.7941,0.421,26334.0,2012-02-02 10:30:36
2243660,2010-03-03 20:28:33,42,1.2 - 3.5 µm,5.317,2.3252,0.0066,0.0071,0.1765,0.17424,4.123,0.5138,0.4267,0.0235,0.0006,0.195,0.008,0.113,70.18,1.9167,0.0913,0.1586,0.4627,39.2646,0.0324,0.104,0.602,0.042,0.1086,0.0787,0.8558,0.0176,0.0044,0.4613,0.004,7896.0,2010-03-03 22:40:09
10516614,2011-03-23 03:20:53,42,0.14 - 0.42 µm,5.076,0.1057,0.1422,0.0003,0.012,0.16158,0.2147,0.0513,1.2339,0.0107,0.0013,0.187,0.085,0.305,73.05,0.6013,0.117,0.8216,0.1486,18.5058,0.7718,0.154,1.048,0.9636,0.0256,0.0045,1.2894,0.2708,0.0039,0.5063,0.01,125020.0,2011-03-24 14:04:33
12679959,2011-09-13 11:54:36,42,0.05 - 0.14 µm,0.27,0.008,0.0394,0.0003,0.0039,0.06517,0.0071,0.0218,0.1701,0.0161,0.0005,0.481,0.105,0.373,3.21,2.6326,0.1007,0.1115,0.7141,1.2027,1.0011,0.161,0.35,0.1057,0.0042,0.0017,0.0309,0.2841,0.0025,0.5708,0.041,0.0,2011-09-13 11:54:36
10050436,2011-11-11 07:53:02,42,3.5 - 10 µm,45.837,1.6561,0.0048,0.0416,0.239,0.53024,2.3209,0.1409,0.9249,0.0088,0.0036,1.118,0.211,0.908,816.11,27.5691,0.6799,1.6315,6.8131,788.8137,0.5571,1.306,2.76,1.1062,0.0044,0.0492,20.8375,0.8242,1.6963,0.4111,0.156,12664.0,2011-11-11 11:24:06
12874303,2010-03-10 18:26:06,42,0.42 - 1.2 µm,0.864,0.0158,0.0,0.0003,0.001,0.04389,0.0709,0.0752,0.0076,0.0011,0.0001,0.044,0.003,0.062,6.67,0.8092,0.0018,0.1605,0.0063,0.7086,0.012,0.025,0.236,0.0027,0.0076,0.0,0.0242,0.004,0.0024,0.0341,0.006,145628.0,2010-03-12 10:53:14
9124239,2010-08-03 11:28:25,42,1.2 - 3.5 µm,37.741,2.2837,0.0624,0.1033,0.4074,0.99719,4.2747,0.3379,1.3168,0.0196,0.0017,0.12,0.003,0.199,598.56,63.8743,1.2166,3.0288,45.2104,1580.4094,1.2404,0.105,1.007,1.9375,0.0516,0.0861,11.7294,1.8684,31.6291,2.6298,0.211,44791.0,2010-08-03 23:54:56
2788372,2011-03-08 07:34:17,42,3.5 - 10 µm,0.021,0.4759,0.0045,0.0004,0.0404,0.00289,0.508,0.1092,0.0509,0.0015,0.0053,0.004,0.003,0.001,0.43,0.0,0.0049,0.0,0.0101,0.0,0.0103,0.025,0.033,0.002,0.1008,0.1947,0.0008,0.001,0.0024,0.0,0.003,0.0,2011-03-08 07:34:17
14800967,2010-01-16 16:10:12,42,0.05 - 0.14 µm,0.019,0.0102,0.0009,0.0003,0.0001,0.0027,0.0082,0.0006,0.0002,0.0,0.0012,0.01,0.003,0.012,0.0,0.0,0.0269,0.0017,0.006,0.0,0.0118,0.024,0.083,0.0024,0.1054,0.0112,0.0,0.001,0.0024,0.0,0.003,87184.0,2010-01-17 16:23:16
10094900,2011-04-26 08:04:06,42,0.05 - 0.14 µm,9.04,0.303,0.0154,0.0005,0.0421,0.18368,0.4646,0.0674,0.1071,0.0043,0.0048,0.376,0.002,0.635,95.39,21.5213,0.564,1.0311,0.4739,75.8109,0.3282,0.044,0.717,0.2719,0.0071,0.0007,1.1249,0.4512,0.0075,2.0795,0.068,4787.0,2011-04-26 09:23:53
8259996,2010-01-17 14:41:32,42,3.5 - 10 µm,20.707,0.8349,0.0175,0.0038,0.4431,0.08259,0.9879,0.1011,1.2984,0.004,0.0019,0.032,0.001,0.064,583.0,54.0567,3.1526,2.1663,13.2699,842.0348,2.5385,2.597,2.32,1.0843,0.0601,0.1189,9.192,0.5104,13.2593,1.2545,0.209,78737.0,2010-01-18 12:33:49
10786352,2011-01-14 08:24:52,42,0.42 - 1.2 µm,4.328,0.2001,0.0218,0.0435,0.0837,0.06827,0.2927,0.1812,0.3649,0.0111,0.0017,0.184,0.015,0.221,88.15,0.0422,0.0107,0.213,0.085,4.5302,0.0701,0.142,0.667,0.0308,0.0062,0.0303,0.5955,0.0976,0.0024,0.0002,0.003,44106.0,2011-01-14 20:39:58
13523264,2012-01-04 04:45:50,42,0.14 - 0.42 µm,0.179,0.0079,0.0131,0.0003,0.0018,0.15736,0.0274,0.0906,0.1102,0.0001,0.0,0.014,0.029,0.015,3.07,0.0017,0.2009,0.2,0.0108,0.9806,0.0217,0.024,0.324,0.0826,0.6597,0.0183,0.0379,0.0023,0.0024,0.0,0.003,61027.0,2012-01-04 21:42:57
7896123,2012-01-11 00:29:08,42,1.2 - 3.5 µm,2.601,0.1933,0.0552,0.0158,0.2567,0.26652,0.2851,0.0681,0.5249,0.0048,0.0069,0.043,0.036,0.055,108.55,8.3198,1.0656,0.1189,0.7551,127.6676,0.294,0.028,0.401,0.187,0.046,0.0429,0.901,0.1155,0.0066,1.7991,0.022,0.0,2012-01-11 00:29:08
11889395,2011-10-17 20:45:49,42,3.5 - 10 µm,45.935,3.8838,0.0147,0.0586,0.5175,0.28918,7.8138,0.7195,1.4059,0.01,0.0082,0.211,0.003,0.174,505.83,11.7727,0.037,0.5271,4.0541,208.0076,0.7199,0.044,0.28,0.3983,0.0053,0.1031,6.8679,1.0769,0.4889,0.6126,0.061,0.0,2011-10-17 20:45:49
