,Unnamed: 0.1,Unnamed: 0,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
12,7378629,129,1068,2010-01-15 00:05:09,2010-12-20 06:19:10,42,0.05 - 0.14 µm,35.451,0.0013,0.1084,0.0003,0.0239,0.00545,2.2447,0.3578,0.0708,0.0075,0.0001,0.74,0.135,0.402,378.51,0.026,2.1406,1.5636,0.006,12.3885,0.0249,0.024,0.79,0.0047,0.1788,0.0288,0.0017,6.3408,0.507,0.0034,0.006
13,13842829,13,1103,2011-11-22 23:59:24,2011-11-23 00:59:24,42,0.42 - 1.2 µm,0.184,0.0004,0.0,0.0147,0.0019,0.01503,0.0714,0.0234,1.1915,0.0036,0.0014,0.628,0.052,0.09,923.43,218.6199,0.0183,1.5334,0.7396,2.6187,0.0173,0.075,0.743,0.0577,0.0027,0.0012,0.0063,0.0711,52.8705,0.0009,0.004
14,9808354,37,1535,2010-01-15 00:18:09,2010-01-15 01:18:09,42,0.14 - 0.42 µm,16.247,0.0021,0.0142,0.0006,0.2764,0.01845,0.0036,0.001,0.2549,0.0022,0.0153,0.781,0.012,0.878,14.07,2.3018,1.2351,1.4046,4.3748,140.3501,0.0188,0.037,0.097,1.5393,0.0015,0.1239,0.2058,4.0474,0.0209,0.0009,0.003
15,6180296,12,966,2012-02-12 01:52:13,2012-02-12 02:52:13,42,1.2 - 3.5 µm,1.54,0.0249,0.0021,0.1164,0.0584,0.19833,15.7135,0.0196,0.127,0.0019,0.0029,0.164,0.058,2.828,7.93,0.0778,0.0018,4.1085,0.0064,9.8774,0.2434,0.056,1.163,0.0132,0.0037,0.0133,1.5734,0.0031,41.4415,0.0009,0.003
16,10854006,5,1193,2012-02-02 23:38:03,2012-02-03 00:38:03,42,0.42 - 1.2 µm,0.83,0.0078,0.0004,0.047,0.0351,0.00649,3.5585,0.0011,0.7456,0.0008,0.0517,0.691,0.297,0.206,916.25,0.9126,2.1787,1.5523,1.0263,1.8522,0.01,0.868,0.172,0.0237,0.0015,0.149,0.0031,0.0028,100.9892,0.0015,0.003
17,743762,63,1479,2011-01-17 12:15:06,2011-01-17 13:15:06,42,0.14 - 0.42 µm,57.782,0.0063,0.0005,0.0003,0.3083,0.0027,0.0034,0.8326,3.9207,0.0016,0.0025,0.364,0.016,0.015,15.88,17.0834,0.9417,0.3318,6.5197,1735.2878,8.61,0.055,0.436,22.9532,0.0656,0.1551,11.2182,4.9715,0.0024,0.0008,0.003
18,8412743,116,1553,2012-01-22 05:48:48,2012-01-22 06:48:48,42,0.14 - 0.42 µm,31.412,3.6886,0.2702,0.0079,0.001,1.25341,0.0745,0.3485,0.0177,0.0003,0.0002,1.046,0.259,0.005,3524.22,0.0505,3.6697,1.1485,11.812,0.0151,0.0435,0.217,0.221,0.002,0.0015,0.0131,0.0011,0.5595,0.063,0.0012,0.003
19,13270010,57,889,2010-08-28 20:06:48,2010-08-28 21:06:48,42,0.14 - 0.42 µm,462.833,1.2945,0.2713,0.0003,0.0092,0.00745,0.0035,0.7087,0.5125,0.0005,0.0001,0.565,0.005,1.809,1045.47,0.3679,0.002,1.1451,0.6226,1967.3198,0.0181,0.057,0.206,0.011,0.0019,0.0202,0.0146,1.0493,0.4352,0.0152,0.014
20,3753218,50,1109,2011-03-16 00:04:14,2011-03-16 01:04:14,42,0.14 - 0.42 µm,0.274,1.2351,0.0071,0.0023,0.1492,0.08899,2.1105,0.0225,1.2355,0.0494,0.0002,0.488,0.467,0.052,1672.28,0.1309,0.6047,0.1142,282.025,2551.6838,0.01,0.104,0.58,0.0733,0.0736,0.0133,0.0138,0.0031,332.922,0.0009,0.011
21,13440955,19,1376,2011-11-10 17:30:04,2011-11-10 18:30:04,42,1.2 - 3.5 µm,0.855,2.7516,0.0134,0.0879,0.0007,0.39715,1.7166,0.027,1.4986,0.003,0.0055,0.891,0.012,0.052,5109.07,4.4521,0.1669,35.613,0.0367,6.321,0.0629,0.422,0.362,0.07,0.0015,0.0315,0.0412,6.1858,0.0024,0.0014,0.012
22,3357237,331,1178,2010-01-15 13:19:00,2011-12-24 22:57:57,42,0.42 - 1.2 µm,0.048,0.0,0.0007,0.1795,0.1997,0.00297,0.1294,0.0051,0.8788,0.0,0.0112,0.122,0.016,1.169,12.96,4.4935,28.2531,0.0219,61.5041,7329.4582,1.1536,0.06,2.532,0.0034,0.0017,0.012,0.0026,0.0039,0.0087,5.0377,1.696
23,16764193,0,1057,2010-01-24 13:17:20,2010-01-27 11:10:10,42,1.2 - 3.5 µm,2.755,0.002,0.1591,0.0003,0.007,0.03344,0.0082,0.0381,0.7267,0.0007,0.0001,0.75,0.01,1.434,4.15,0.0221,0.0656,0.3174,0.0483,8.2421,0.1321,0.051,1.356,0.0023,0.2219,0.1033,0.5223,0.0033,2.9053,0.0006,0.041
24,4159581,3,1530,2012-01-12 15:43:17,2012-01-18 00:19:49,42,0.42 - 1.2 µm,52.557,0.2776,0.0466,0.0003,0.1799,1.02991,0.0032,0.1233,0.3165,0.0001,0.0001,0.221,0.009,0.041,990.76,1.1739,32.426,0.787,0.3098,0.3537,0.6738,0.03,0.67,0.0267,0.009,0.0045,0.2244,0.0019,1.6026,0.0014,0.003
25,10685917,40,1551,2010-10-11 07:13:59,2011-12-15 21:53:02,42,3.5 - 10 µm,475.947,0.0075,0.0153,0.001,0.009,0.01338,0.0035,0.0469,0.218,0.0001,0.0001,0.699,0.116,0.349,13.32,0.2207,0.0238,0.0405,0.7302,3633.3727,1.3517,0.024,1.104,0.0072,0.0252,0.0022,11.2395,1.3871,0.0024,0.0005,0.003
26,14491545,3,1261,2012-02-12 06:23:30,2012-02-12 07:23:30,42,0.05 - 0.14 µm,3.557,0.0013,0.0276,0.0745,0.1028,0.0215,0.0109,0.485,0.6415,0.0055,0.0002,0.44,1.383,0.112,5849.1,24.2011,9.0534,6.8479,0.0277,2.1577,0.0188,0.111,31.002,7.2416,0.2463,0.0049,0.12,0.0091,332.922,1.0094,0.024
27,16619667,149,854,2010-11-12 18:24:13,2012-01-29 19:50:38,42,0.42 - 1.2 µm,69.846,0.1794,0.0374,0.0441,0.005,0.99568,0.2133,0.0028,0.2411,0.0164,0.0003,0.832,0.005,0.023,34.81,0.1585,0.6372,0.1494,5.9599,258.2121,0.01,0.224,0.931,0.0266,0.0058,0.1107,0.0342,0.2458,109.7231,0.0021,0.003
28,11890344,1,1348,2010-01-25 17:29:38,2010-01-25 18:29:38,42,0.05 - 0.14 µm,3.888,1.602,0.029,0.0029,0.604,0.00467,0.0078,0.0225,0.1661,0.0,0.0002,0.182,0.002,0.626,840.34,474.6148,1.8936,2.1347,16.0093,2724.2236,0.01,0.027,0.36,0.0207,0.0893,0.0011,0.3253,0.0021,0.0024,0.0581,0.386
29,3472888,37,925,2011-01-09 11:16:21,2011-01-09 12:16:21,42,0.42 - 1.2 µm,100.461,0.0019,0.0001,0.0004,0.1618,0.0027,1.4491,0.059,1.0217,0.0001,0.0001,0.091,0.002,0.012,2.91,53.4703,0.446,0.1227,0.006,26.4619,0.375,0.039,1.954,0.0477,0.0112,0.0128,0.0341,0.024,332.922,0.0013,1.689
30,12157957,62,877,2010-01-13 19:06:26,2010-09-13 07:28:18,42,0.14 - 0.42 µm,18.437,0.0,0.0111,0.0117,0.0428,0.00445,0.4286,0.3835,0.1866,0.0011,0.0683,0.13,0.004,0.147,874.08,0.5815,0.0076,0.0926,13.6357,290.2195,0.7714,0.024,1.346,1.536,0.0388,0.0185,0.4751,0.1545,10.3872,0.0161,0.003
31,15981384,7,1111,2010-01-14 12:40:13,2011-12-21 23:47:23,42,0.42 - 1.2 µm,0.061,0.1868,0.0316,0.018,0.003,0.0027,0.5653,1.1512,0.23,0.0003,0.0001,0.689,0.003,0.128,353.82,87.9204,0.0034,0.3662,10.4869,24.6696,0.01,0.122,0.472,0.0151,0.0017,0.0107,0.0657,0.0099,0.0024,0.7804,0.003
32,14348761,2,1324,2010-02-14 04:09:01,2010-10-03 13:29:32,42,0.05 - 0.14 µm,38.244,1.8028,0.0005,0.0003,0.0405,0.01753,0.7772,0.3059,0.8215,0.0007,0.0003,0.41,0.005,4.357,322.35,59.7405,0.0031,0.5274,1.305,364.1864,0.146,0.041,0.647,0.8725,0.002,0.2515,6.429,0.0018,0.0024,0.0011,0.254
33,5404780,305,1089,2012-02-10 05:32:32,2012-02-10 06:32:32,42,0.14 - 0.42 µm,0.113,0.0,0.031,0.1645,0.0214,0.0186,0.0611,0.0021,0.1198,0.0003,0.0002,0.239,0.02,0.601,25.88,0.0705,0.0025,1.2605,0.0841,4.9829,0.3388,0.069,0.91,0.0059,0.0015,0.0343,0.6078,0.0047,0.5861,0.0007,0.241
34,2703643,13,1396,2010-01-14 14:46:58,2011-10-31 13:25:10,42,0.05 - 0.14 µm,79.276,0.3344,0.115,0.0577,0.0069,0.0027,5.8355,1.6914,3.0034,0.0006,0.0001,0.251,0.151,0.606,1044.73,238.5,2.17,0.5936,1.9242,0.3018,4.2479,0.048,1.354,0.0078,0.0043,0.0014,0.0076,0.3424,81.351,0.0012,0.614
35,6073853,142,1116,2011-05-01 06:07:51,2011-05-01 07:07:51,42,1.2 - 3.5 µm,3.707,0.0003,0.0073,0.0005,0.0021,0.17344,19.5441,0.0017,1.5238,0.068,0.0001,0.885,0.005,0.902,47.91,0.7503,0.0401,0.5363,0.0131,0.6054,0.0562,0.389,0.541,0.0026,0.0015,0.1009,0.032,1.3927,0.0257,0.0008,0.003
36,11585553,95,1534,2010-02-04 12:19:03,2010-11-19 07:30:25,42,0.42 - 1.2 µm,1.642,0.0108,0.2296,0.0329,0.0172,0.27109,17.7339,0.272,0.2642,0.0275,0.0001,0.389,0.014,1.273,3313.41,0.475,0.0109,0.2783,0.8263,5.2143,0.0133,0.091,0.653,0.0056,0.0015,0.0079,0.0092,1.5562,0.0286,0.0437,0.003
37,2586608,3,1342,2010-01-13 03:06:58,2010-01-21 16:47:43,42,0.14 - 0.42 µm,0.794,4.9572,0.0557,0.0003,0.0016,0.05345,7.424,0.4183,0.2178,0.0097,0.0001,0.064,0.201,0.115,55.36,0.2715,0.0027,0.0888,0.006,330.2238,0.3609,0.045,0.864,0.0378,0.0256,0.0397,1.1209,0.0638,16.1895,0.001,4.413
38,8208114,275,1245,2010-10-10 18:33:37,2010-10-10 19:33:37,42,3.5 - 10 µm,7.838,0.1203,0.0676,0.0104,0.004,0.00712,4.6933,0.4252,0.1035,0.0,0.0001,0.212,0.003,0.079,1.39,1.3386,1.0433,1.9282,0.1471,2.0745,0.01,0.146,0.513,0.025,0.0015,0.0237,0.0014,0.1195,0.0024,0.042,0.004
39,16418781,93,1548,2010-02-28 21:27:35,2011-12-21 14:00:07,42,1.2 - 3.5 µm,8.009,2.0386,0.0151,0.0004,0.0326,0.00583,0.3015,0.0098,2.5342,0.0053,0.0002,1.18,0.001,2.088,1.95,0.2856,0.0018,0.1203,1.3889,0.3423,0.0322,0.46,0.099,0.0026,0.066,0.041,0.0805,0.2102,136.3162,0.5259,0.511
40,16445751,379,877,2010-01-17 13:16:04,2011-11-16 20:46:55,42,0.14 - 0.42 µm,8.868,0.0001,0.0002,0.0027,0.9863,0.01671,0.1526,0.177,0.6266,0.0144,0.0029,0.129,0.024,1.378,1.08,0.454,0.0071,8.1234,7.5309,979.3673,0.0872,0.091,0.762,0.0184,0.0865,0.0014,15.4165,3.2158,158.9667,0.9085,0.435
41,9474796,0,1549,2012-02-11 01:03:17,2012-02-11 02:03:17,42,0.14 - 0.42 µm,37.498,7.1203,0.1342,0.0362,0.1617,0.01759,2.1687,0.5696,0.0737,0.0016,0.0002,1.596,0.201,0.545,23.13,11.672,2.7385,0.5489,0.0264,2.4096,0.2963,0.192,1.079,0.0248,0.0743,0.2841,0.0375,0.0035,45.0096,0.0015,0.003
42,8187147,23,1351,2010-01-21 10:59:09,2010-12-18 04:10:58,42,1.2 - 3.5 µm,0.922,0.0,0.0018,0.1931,0.0152,0.00414,0.7126,0.0023,0.3109,0.0056,0.0002,0.447,0.007,0.081,3563.62,0.0689,0.3129,2.6064,0.006,12.7134,0.0794,0.024,0.593,0.0055,0.0015,0.0165,0.0617,2.1684,0.0024,0.0005,0.003
43,10049737,39,1455,2012-01-12 21:58:49,2012-01-12 22:58:49,42,0.42 - 1.2 µm,140.866,0.0002,0.0003,0.0023,0.3193,0.06218,0.8335,0.0031,1.1787,0.0002,0.0002,0.727,0.008,0.823,59.82,102.2533,1.2083,0.4729,10.9901,12.3978,0.1978,0.056,0.648,0.0209,0.0017,0.1128,0.0282,0.0439,0.0024,0.0004,0.003
44,11995442,16,869,2011-06-06 05:25:35,2011-06-06 06:25:35,42,3.5 - 10 µm,0.678,0.0,0.0557,0.002,0.0521,0.01293,0.4016,1.3078,1.9671,0.0001,0.0001,0.9,0.008,0.066,14.83,51.6811,0.8411,7.7373,0.3943,6.8328,0.6017,0.106,1.184,0.5282,0.0016,0.0004,0.0011,0.0049,0.21,0.0009,0.122
45,9376348,217,1538,2010-01-16 20:35:54,2010-01-16 21:35:54,42,0.05 - 0.14 µm,129.517,1.0757,0.0159,0.0011,0.0001,0.1392,1.2369,0.6121,0.1219,0.0112,0.0001,3.0,0.053,0.085,212.14,126.6078,2.8112,0.3918,0.5984,2.905,2.0485,0.024,0.328,0.1787,0.0015,0.0879,1.0312,0.0036,1.7116,0.0028,0.003
46,7798548,86,938,2012-02-09 16:48:35,2012-02-09 17:48:35,42,3.5 - 10 µm,6.232,0.0284,0.0195,0.015,0.1148,0.01447,2.8692,0.0022,0.0723,0.0044,0.0002,2.171,0.007,0.053,14.37,19.4114,0.0157,1.1594,1.4773,250.9005,1.6014,0.051,1.57,0.0047,0.0023,0.0264,0.2417,0.0034,3.7581,0.0008,0.003
47,15263923,5,1448,2011-03-23 15:34:46,2011-03-23 16:34:46,42,0.42 - 1.2 µm,0.12,0.0077,0.0609,0.0297,0.4313,0.00537,2.0856,0.0031,1.4436,0.0035,0.0001,0.726,0.016,0.022,787.97,0.5477,1.1299,7.9354,3.886,5355.368,0.0109,0.352,0.116,11.7676,0.0015,0.0699,0.6634,0.0029,0.0024,0.001,3.76
48,8952,172,1112,2010-11-19 00:15:02,2010-11-19 01:15:02,42,0.42 - 1.2 µm,2.887,0.0249,0.0075,0.0746,0.0737,0.19508,0.1623,0.001,0.2523,0.0006,0.0008,0.193,0.005,0.3,982.96,489.9606,0.019,2.1385,1.4608,94.0306,0.0144,0.024,1.093,0.4894,0.0015,0.0055,27.3234,0.1706,1.2861,0.0024,0.003
49,11568610,0,1515,2010-06-17 07:05:02,2010-06-17 08:05:02,42,0.05 - 0.14 µm,13.332,0.0023,0.0039,0.0003,0.3086,0.017,2.795,0.1428,0.3521,0.0003,0.0,0.172,0.002,0.237,1101.99,66.4377,0.6453,3.0139,0.0079,264.0029,0.2987,0.127,3.796,0.075,0.011,0.0029,9.4818,0.2002,332.922,0.0018,0.471
50,16259921,289,1550,2010-03-18 22:30:19,2010-03-18 23:30:19,42,3.5 - 10 µm,75.923,1.1577,0.002,0.0012,0.2222,0.02037,6.6328,0.7186,0.087,0.0012,0.0005,3.55,0.004,2.046,1.14,13.6656,2.315,0.0492,3.7986,1.9549,0.0147,0.024,1.827,0.4322,0.0015,0.4573,0.0078,11.2231,332.922,0.0033,0.003
51,13646640,3,1498,2010-01-12 18:29:07,2010-01-12 19:29:07,42,3.5 - 10 µm,55.105,0.0,0.1274,0.0006,0.2555,0.00739,0.1629,0.2867,0.578,0.0074,0.0049,3.297,0.009,0.476,4.17,1.2568,31.4025,0.142,282.025,2.9022,0.0299,0.044,0.154,0.0198,0.0048,0.0016,1.7802,0.0021,0.0096,1.8495,0.033
52,4247629,2,1468,2010-01-31 04:43:45,2010-01-31 05:43:45,42,0.14 - 0.42 µm,43.87,0.1091,0.0329,0.0213,0.0102,0.0027,0.1212,0.0046,0.4207,0.0324,0.0002,0.786,0.051,0.384,31.65,278.1611,0.4451,1.6061,83.5272,2.5194,0.0949,0.149,1.051,0.0052,0.023,0.0851,0.0021,0.0055,0.0587,0.0011,0.003
53,2090656,16,1195,2010-04-19 08:44:23,2010-12-07 06:46:51,42,0.14 - 0.42 µm,0.884,3.0912,0.142,0.0069,0.0175,0.34406,0.0048,0.1063,0.1381,0.0002,0.0003,0.114,0.107,0.156,851.29,2.5621,0.2239,1.8208,0.3887,0.3533,0.0411,0.06,0.843,0.2675,0.0072,0.0006,0.0057,0.0113,2.0949,0.0013,5.652
54,11698007,642,1158,2010-01-13 07:00:13,2010-01-13 08:00:13,42,0.42 - 1.2 µm,73.615,0.0001,0.0015,0.0307,0.011,1.22605,0.085,0.0053,0.877,0.0006,0.0002,1.922,0.003,0.727,91.14,18.7467,1.5208,0.543,42.6837,0.0339,0.0217,0.024,0.647,0.0575,0.0015,0.0332,0.0329,0.0013,0.0024,0.0016,0.408
55,3995909,392,1413,2010-10-25 19:36:13,2010-10-25 20:36:13,42,3.5 - 10 µm,0.392,0.0,0.1405,0.0028,1.5357,0.27226,0.0161,0.8753,0.7757,0.0085,0.0001,0.223,0.003,0.453,28.53,7.4478,0.3203,1.4534,2.7369,5134.9756,0.104,0.134,0.212,0.0143,0.0085,0.0018,0.0,0.0029,0.0024,0.0034,0.673
56,1751485,5,1383,2010-01-14 23:40:56,2010-01-15 00:40:56,42,0.14 - 0.42 µm,0.157,1.4076,0.0069,0.0023,0.0102,0.00324,1.0255,0.0961,4.3087,0.0018,0.0744,0.22,0.164,0.08,9.62,133.1776,0.2661,1.9847,282.025,0.6079,0.0765,0.083,0.698,0.4776,0.0015,0.0024,0.0648,0.3241,3.6646,0.0007,0.003
57,16075789,129,1102,2010-02-03 13:02:15,2010-02-03 14:02:15,42,0.42 - 1.2 µm,7.153,0.6693,0.0369,0.0003,0.0305,0.53516,0.0274,0.4903,0.5517,0.0007,0.0543,0.126,0.002,0.103,28.72,0.3031,32.426,4.3386,0.006,1.1685,0.0725,0.024,0.23,0.0273,0.0015,0.0347,5.2725,0.0068,0.0024,0.001,0.003
58,16021216,21,909,2011-04-17 21:22:17,2011-04-17 22:22:17,42,1.2 - 3.5 µm,0.683,1.435,0.0356,0.0597,0.0003,0.33932,4.574,0.0206,0.5223,0.002,0.0002,0.234,0.015,0.616,605.6,0.022,0.0838,1.8157,0.0941,0.5861,0.01,0.024,5.287,0.0039,0.0018,0.0449,0.1179,0.0077,4.9399,0.0019,0.003
59,6014719,1,1375,2010-03-19 05:19:52,2010-03-19 06:19:52,42,0.05 - 0.14 µm,20.751,0.0002,0.0253,0.0071,0.1484,0.01693,0.0029,0.0354,0.688,0.0025,0.0002,0.254,0.011,0.419,14.95,193.5588,0.1003,0.6609,0.0975,5.6985,0.0206,0.227,0.414,0.0558,0.0228,0.0269,0.0033,0.0037,0.0599,0.743,0.004
60,2172565,31,937,2010-04-28 09:30:02,2011-10-01 08:53:34,42,0.14 - 0.42 µm,1.209,0.0,0.0293,0.0003,0.3007,0.00963,0.0028,1.2307,0.1749,0.0001,0.0021,0.742,0.015,0.206,2.32,0.1023,28.3529,2.3206,0.0617,1079.1498,0.3906,0.027,0.456,0.0071,0.0015,0.1323,0.0021,9.4282,0.0329,0.0019,0.003
61,15063498,51,1354,2010-01-13 16:22:47,2010-10-30 02:09:36,42,1.2 - 3.5 µm,165.204,0.0003,0.0022,0.001,0.1821,0.00649,6.3386,0.68,0.2247,0.0072,0.0002,1.044,0.001,0.034,237.68,20.6033,0.103,1.6714,9.6368,0.9364,0.5012,0.032,0.356,0.0216,0.0017,0.0972,0.009,1.0573,0.0024,0.0008,0.003
62,6524611,38,872,2010-01-14 22:29:53,2010-01-22 00:39:32,42,1.2 - 3.5 µm,60.28,0.0003,0.1084,0.0054,0.0455,0.09104,0.0189,1.3718,0.1325,0.0037,0.0002,0.676,0.034,0.075,1.33,0.2749,0.9388,0.2153,0.0388,975.1623,0.3218,0.024,0.928,0.0079,0.0382,0.0011,0.0045,0.0962,332.922,0.0024,0.01
63,13546808,2,1007,2011-03-31 00:16:12,2011-03-31 01:16:12,42,0.14 - 0.42 µm,103.93,0.0016,0.0092,0.0077,0.0022,0.00437,4.8341,0.0129,1.3031,0.0271,0.0002,0.9,0.001,0.158,0.67,0.5499,0.5529,1.5766,3.1876,975.8266,0.0286,0.229,0.227,0.5374,0.0015,0.0225,0.1776,0.019,0.0024,0.2153,5.015
64,11469678,298,1421,2010-03-04 11:49:21,2011-09-27 11:27:35,42,0.14 - 0.42 µm,2.39,3.1915,0.0209,0.0009,0.0012,0.37675,0.0167,1.8844,0.4322,0.0,0.0002,0.204,0.006,0.401,73.48,0.0087,0.8441,0.5264,76.2387,0.0383,0.0217,0.025,0.827,0.0039,0.0058,0.0689,0.079,0.0162,0.0603,0.3647,0.004
65,11144367,3,1554,2010-01-16 07:31:15,2010-03-19 19:13:22,42,0.14 - 0.42 µm,75.53,0.0003,0.0108,0.0172,0.0099,0.00334,0.0695,0.053,1.4858,0.0475,0.0001,1.479,0.005,0.413,22.84,0.0889,0.0022,1.5271,0.3042,0.8694,0.5185,0.024,0.418,0.0526,0.0015,0.0005,0.2865,41.3372,84.747,0.1063,0.015
66,15303969,39,1214,2010-10-25 05:52:15,2011-10-30 23:15:30,42,0.42 - 1.2 µm,33.605,1.9215,0.0303,0.0008,0.1242,0.0027,0.0046,0.0028,2.6523,0.0038,0.0001,1.283,0.004,0.273,32.12,0.2622,3.1349,0.6217,0.006,0.0488,0.1502,0.042,2.404,0.3091,0.0048,0.0007,0.0035,0.0049,0.0024,0.0005,0.018
