No,Date/Time,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3],Duration,Date/time end
11502859,2012-02-20 11:58:00,42,0.42 - 1.2 µm,15.956,1.3533,0.0,0.0001,0.006,0.00125,0.7495,0.3949,0.7865,0.0043,0.0006,0.172,0.13,0.062,1021.86,10.9938,0.0829,0.8303,0.6572,211.3409,0.4208,0.447,2.789,0.4294,0.0724,0.0079,2.4266,0.2948,0.0,0.0,0.25,11000.0,2012-02-20 15:01:20
8627165,2010-02-24 05:02:40,42,0.05 - 0.14 µm,0.442,0.0,0.0,0.0155,0.0682,0.4132,0.084,0.1034,0.5282,0.0074,0.0,0.204,0.004,0.166,0.0,0.3757,0.0,0.4109,0.0048,268.5518,0.4078,0.375,0.506,0.0868,0.107,0.0388,0.0,0.0,0.0,6.2741,0.091,97889.0,2010-02-25 08:14:09
5844951,2010-04-22 00:30:24,42,1.2 - 3.5 µm,8.357,0.6281,0.0,0.0001,0.0499,0.13458,0.0028,0.0246,0.5634,0.006,0.0,0.156,0.006,0.616,0.0,121.4981,0.0,0.2714,0.0048,558.4974,0.1296,0.854,1.173,0.0,0.0593,0.0514,3.7175,6.7873,0.0,5.3593,0.0,75132.0,2010-04-22 21:22:36
13280760,2010-03-08 01:10:39,42,3.5 - 10 µm,11.902,0.7029,0.0113,0.2321,0.0,0.08903,2.6304,0.238,3.6675,0.0,0.0,0.0,0.122,0.192,145.47,4.5602,0.0,0.8984,0.0586,160.7775,0.0072,0.18,0.342,0.0,0.0025,0.0047,15.0803,0.2491,0.0,0.0,0.0,88397.0,2010-03-09 01:43:56
16755389,2010-02-05 23:25:20,42,0.42 - 1.2 µm,9.834,0.2767,0.0526,0.0041,0.0,0.00125,1.1734,0.0391,1.2474,0.0023,0.0,2.866,0.026,0.201,41.39,5.9545,0.2447,5.6841,0.719,0.0,0.0072,0.287,1.749,0.0,0.017,0.0,0.1689,0.0,15.2714,2.6539,0.0,81337.0,2010-02-06 22:00:57
15775632,2012-02-20 11:58:00,42,0.14 - 0.42 µm,10.724,0.0,0.023,0.2435,0.0454,2.0391,3.4447,0.0006,0.6378,0.008,0.0,0.241,0.093,0.116,254.08,14.8223,0.2841,1.0075,0.0048,0.0,0.0072,0.01,0.179,0.0044,0.003,0.0258,2.4334,0.0,0.0,0.7628,0.0,76129.0,2012-02-21 09:06:49
5884948,2010-02-21 12:47:57,42,3.5 - 10 µm,86.752,0.0,0.0075,0.0245,0.116,0.00125,1.6088,0.7771,0.8788,0.0034,0.0,0.187,0.001,0.31,0.0,0.0,0.0,0.0,0.0048,0.0,0.0072,0.113,0.052,0.3685,0.0215,0.0131,17.4432,0.316,0.0,0.6362,0.296,38286.0,2010-02-21 23:26:03
625527,2010-02-08 05:37:08,42,0.14 - 0.42 µm,44.395,0.0,0.0063,0.0001,0.0285,0.59512,0.1476,0.0397,0.7135,0.0098,0.0003,0.317,0.0,0.011,0.0,3.4155,0.245,0.8547,0.322,280.5074,0.0072,0.111,0.741,0.0,0.0394,0.0357,12.4584,0.2297,2.8695,1.0752,0.0,261180.0,2010-02-11 06:10:08
14249408,2012-02-20 11:58:00,42,0.42 - 1.2 µm,0.009,1.0178,0.0034,0.1005,0.0,0.31613,3.5258,0.1864,0.0,0.007,0.0,0.223,0.044,0.554,154.12,19.4441,1.9187,0.7482,0.0048,145.5935,0.0072,0.11,1.769,0.0,0.0,0.0065,2.8876,0.0605,1.658,5.3842,0.11,72478.0,2012-02-21 08:05:58
1426459,2010-02-22 02:40:07,42,0.42 - 1.2 µm,39.515,0.0,0.0,0.0229,0.133,0.05589,0.0028,0.032,2.9203,0.0004,0.0,0.006,0.0,0.004,920.36,0.0,0.0,0.1819,0.0048,1115.4542,0.0072,0.157,0.059,0.2384,0.0824,0.0434,175.998,2.9092,0.0,0.0,0.0,79073.0,2010-02-23 00:38:00
315641,2012-01-18 13:57:03,42,3.5 - 10 µm,36.643,0.5083,0.0023,0.015,0.0707,0.12069,3.07,0.0006,3.0848,0.003,0.0002,0.0,0.064,1.614,3.23,0.4264,0.3097,1.1933,2.3586,91.0041,0.0072,0.367,0.339,0.32,0.0,0.1073,8.6977,0.5019,0.0,0.9448,0.235,91965.0,2012-01-19 15:29:48
10475189,2011-03-24 15:30:08,42,1.2 - 3.5 µm,3.511,0.0152,0.0114,0.0001,0.0252,1.03877,0.0329,0.0896,0.2162,0.0236,0.0001,3.55,0.0,0.168,1718.13,0.81,0.0,0.7102,0.0048,0.0,0.0072,0.173,0.269,0.0,0.0,0.0585,40.3037,4.3108,0.0,0.6142,0.0,99875.0,2011-03-25 19:14:43
14896115,2012-02-20 11:58:00,42,3.5 - 10 µm,8.875,0.2078,0.026,0.0062,0.0521,1.16449,2.5895,0.0006,4.2728,0.0,0.0,0.135,0.038,0.289,1602.48,22.4442,0.0,0.5558,0.0048,0.0,0.0072,0.371,0.813,0.0,0.0109,0.0105,14.8654,0.603,0.0,1.45,0.125,86970.0,2012-02-21 12:07:30
12531714,2012-01-20 15:42:26,42,0.05 - 0.14 µm,2.224,0.3822,0.0,0.0056,0.0046,0.01416,1.7568,0.03,1.6644,0.0056,0.0,0.232,0.031,0.301,0.0,5.3423,0.0,0.5505,0.0048,9.987,0.0072,0.146,3.976,0.0,0.0,0.0288,0.6771,0.2503,0.5689,0.0,0.0,0.0,2012-01-20 15:42:26
5400226,2010-01-22 20:04:16,42,0.42 - 1.2 µm,3.094,0.0,0.0,0.0001,0.0,0.32234,9.1289,0.096,0.2552,0.0084,0.0,0.042,0.054,0.946,0.0,26.4123,0.6883,2.8506,0.0048,78.2579,0.0919,0.427,2.465,0.2531,0.0733,0.0063,3.5252,0.6351,0.6363,1.4299,0.328,101440.0,2010-01-24 00:14:56
6212213,2010-01-11 16:30:00,42,0.05 - 0.14 µm,0.282,0.3743,0.0007,0.1124,0.5775,0.01123,0.0028,0.0006,2.4522,0.0047,0.0014,0.083,0.004,0.164,30.75,85.9433,0.6515,0.0664,0.0048,141.8095,0.0072,0.039,2.708,0.2239,0.0384,0.0447,11.9364,0.8213,1.3733,1.3467,0.28,0.0,2010-01-11 16:30:00
8192857,2012-02-20 11:58:00,42,3.5 - 10 µm,40.474,0.2709,0.0071,0.0225,0.0,0.39257,0.5096,0.2427,0.6014,0.0404,0.0021,0.0,0.0,0.096,0.0,86.1405,25.2889,0.0772,0.0048,17.3471,1.0164,0.311,1.456,0.0,0.0454,0.0883,4.1967,11.7088,124.7524,5.395,0.0,0.0,2012-02-20 11:58:00
850659,2012-02-19 17:28:04,42,0.14 - 0.42 µm,16.688,0.0,0.0,0.3773,0.0,0.10624,3.0525,0.058,0.0736,0.0033,0.0,0.066,0.0,0.329,145.03,0.0,0.0,0.0,0.3194,144.2342,0.0072,0.106,0.425,0.0,0.0,0.0,6.1603,2.9922,0.0,8.3682,0.0,74528.0,2012-02-20 14:10:12
13782718,2010-04-09 18:28:05,42,0.42 - 1.2 µm,0.009,1.0226,0.0,0.1896,0.0003,0.09673,5.8021,0.3678,2.2562,0.0,0.0,0.426,0.062,0.128,218.63,19.8127,0.0,0.5411,1.0312,0.0,0.0347,0.27,1.015,1.9584,0.2631,0.0257,1.3809,0.7133,0.0,10.5116,0.315,94001.0,2010-04-10 20:34:46
14681397,2010-02-12 15:50:04,42,3.5 - 10 µm,53.978,0.362,0.0022,0.0001,0.0329,0.16906,0.4284,0.0634,1.008,0.0,0.0,0.104,0.228,0.146,55.49,16.8475,0.2994,0.5839,0.8066,162.3465,0.0072,0.429,2.196,0.1259,0.0121,0.04,3.2273,0.0849,0.0,0.1969,0.0,104857.0,2010-02-13 20:57:41
3085355,2012-02-20 11:58:00,42,1.2 - 3.5 µm,74.456,3.2236,0.1373,0.0576,0.0,1.24809,3.2715,0.0006,0.8519,0.0,0.0,0.0,0.054,0.345,71.17,144.9669,0.4676,0.0,0.0048,191.5151,0.0402,0.171,1.489,0.2398,0.029,0.0,4.01,0.0,0.0,1.1547,0.0,0.0,2012-02-20 11:58:00
16418721,2010-12-27 15:55:05,42,0.05 - 0.14 µm,6.217,10.3364,0.006,0.0203,0.0132,0.39474,1.6759,0.0458,0.5623,0.005,0.0351,0.207,0.0,0.354,0.0,341.1552,0.2215,0.0158,0.0048,0.0,0.0665,0.028,1.768,0.0,0.3554,0.0243,33.7674,12.5127,0.0,1.2438,0.0,84726.0,2010-12-28 15:27:11
757850,2011-02-24 19:57:29,42,0.14 - 0.42 µm,10.169,0.0,0.0009,0.0416,0.0375,0.20359,1.2218,0.3211,0.9582,0.0,0.0,0.086,0.091,0.091,218.88,24.4585,0.0,0.0921,0.0048,0.0,0.2899,0.01,0.098,0.1865,0.0542,0.1463,4.0131,30.8061,0.0,0.003,0.0,86662.0,2011-02-25 20:01:51
11446429,2012-02-10 07:41:32,42,0.14 - 0.42 µm,66.729,6.8843,0.0,0.0237,0.0,0.1579,0.0432,0.0668,0.5829,0.005,0.0,0.125,0.092,0.0,150.28,151.4673,0.0,0.2103,0.0048,129.9486,0.2695,0.711,0.654,0.0,0.0,0.0238,4.6458,0.0979,0.0,0.0,0.11,89331.0,2012-02-11 08:30:23
14006852,2012-02-20 11:58:00,42,0.14 - 0.42 µm,13.387,0.4251,0.0234,0.057,0.0,0.06474,0.2562,0.6274,0.0913,0.009,0.0,0.0,0.116,0.071,101.06,7.964,0.0,0.0,0.3484,0.0,0.087,0.286,1.027,0.0,0.0359,0.0,2.0358,0.349,0.03,6.4037,0.0,104412.0,2012-02-21 16:58:12
81549,2012-01-28 22:15:52,42,0.14 - 0.42 µm,8.626,3.3204,0.0594,0.0195,0.0,0.06792,3.81,0.114,3.3798,0.0015,0.0,0.002,0.022,0.292,159.18,0.0,0.0,0.1301,5.4894,0.0,0.0072,0.01,0.562,0.0,0.0,0.1305,12.3452,0.1283,0.0,0.1402,0.0,0.0,2012-01-28 22:15:52
6956168,2012-01-27 02:21:17,42,1.2 - 3.5 µm,13.649,0.0,0.0168,0.2215,0.0525,0.00125,0.8453,0.7833,1.6094,0.1202,0.0005,0.783,0.01,0.0,104.42,0.0,0.4426,0.0609,0.0048,0.0,0.0072,1.952,0.652,0.3478,0.2316,0.0093,3.2615,0.3978,0.0,0.6689,0.141,121492.0,2012-01-28 12:06:09
12364490,2011-04-14 12:14:46,42,0.14 - 0.42 µm,13.036,7.4318,0.0218,0.1864,0.1324,0.05927,0.9109,0.01,0.6764,0.0002,0.0,0.322,0.061,1.641,177.51,510.4841,0.0113,0.0,0.0048,106.7182,0.0072,0.01,0.634,0.0,0.0099,0.058,2.3185,0.0,0.0,1.2298,0.0,82654.0,2011-04-15 11:12:20
7794582,2012-02-20 11:58:00,42,1.2 - 3.5 µm,40.485,0.0,0.0586,0.0847,0.0182,0.05455,0.2057,0.0244,0.5868,0.12,0.0,0.041,0.032,0.17,20.05,0.0,0.2938,0.4636,0.0048,400.358,0.1528,0.314,0.895,0.0,0.065,0.0283,2.4421,0.1081,3.039,0.0,0.0,89322.0,2012-02-21 12:46:42
2918446,2010-03-11 13:58:31,42,1.2 - 3.5 µm,10.236,0.0039,0.0106,0.0001,0.0011,1.14885,2.7386,0.1068,0.0609,0.0037,0.0,0.264,0.031,1.217,0.0,23.7871,0.0,8.1726,0.0048,109.1071,0.3436,0.01,5.503,0.4305,0.0452,0.0,3.2762,0.0,0.0,0.6996,0.0,45702.0,2010-03-12 02:40:13
5415624,2011-04-03 16:27:09,42,0.42 - 1.2 µm,62.757,0.9554,0.0,0.008,0.0299,0.16663,7.811,0.0857,1.7084,0.0008,0.0,0.151,0.004,0.217,111.45,0.0,0.0,0.0,0.0048,80.6169,0.0072,0.01,1.988,0.342,0.044,0.2036,2.8557,0.5744,0.0,0.0,0.0,93059.0,2011-04-04 18:18:08
16142221,2010-05-04 04:06:05,42,0.42 - 1.2 µm,3.692,4.2556,0.0,0.0481,0.1945,0.19184,2.3893,0.0006,0.6546,0.0178,0.0,0.303,0.023,0.141,838.66,7.6897,0.0,0.4926,3.0532,0.0,0.2105,0.01,2.427,0.0,0.0,0.0211,1.7955,0.3947,0.0,0.185,0.0,82164.0,2010-05-05 02:55:29
11064901,2010-02-19 17:46:48,42,1.2 - 3.5 µm,8.006,0.1148,0.0396,0.0001,0.0,0.00125,4.1449,0.0574,0.0,0.0039,0.035,0.244,0.103,0.495,22.85,1.0529,3.1947,0.8303,2.3169,126.7618,0.0072,0.286,4.203,0.4247,0.7188,0.0964,26.224,0.0,0.0,1.1477,0.0,0.0,2010-02-19 17:46:48
302232,2010-04-13 21:52:51,42,0.42 - 1.2 µm,7.083,0.0,0.0154,0.0001,0.0144,0.35543,3.9354,0.8075,0.0084,0.0005,0.0,0.0,0.029,0.171,4.22,10.2852,0.0,0.6502,0.0048,0.0,0.0072,0.01,1.161,0.0842,0.0056,0.0188,175.998,0.0,0.0,0.0,0.0,82839.0,2010-04-14 20:53:30
3351966,2012-02-17 05:30:46,42,0.42 - 1.2 µm,1.5,0.135,0.0059,0.129,0.0654,0.08025,1.3854,0.125,3.8469,0.0363,0.0014,0.141,0.0,0.724,0.0,0.0,0.2047,0.2078,0.3232,107.8874,1.3028,0.124,1.009,0.5518,0.2852,0.0173,14.0857,0.6688,0.0,4.2635,0.376,81692.0,2012-02-18 04:12:18
804568,2011-01-31 00:20:06,42,0.42 - 1.2 µm,10.615,0.2571,0.0,0.0001,0.0398,0.12537,0.7302,0.0551,3.9091,0.0007,0.0,0.256,0.005,0.292,28.7,55.1136,0.4666,0.518,0.0048,0.0,0.0072,0.341,0.309,0.5403,0.0353,0.0342,1.776,0.6709,0.0,0.1708,0.169,90879.0,2011-02-01 01:34:45
14550358,2012-02-08 05:17:57,42,0.05 - 0.14 µm,9.179,0.0,0.0,0.0109,0.0664,0.00125,0.7005,0.0031,4.0743,0.0017,0.0,0.5,0.031,0.0,9256.44,26.3492,0.2398,0.446,0.2421,73.0459,0.2546,0.534,1.407,0.0246,0.0,0.3077,3.3206,0.0,0.0,0.782,0.355,0.0,2012-02-08 05:17:57
8104302,2011-01-10 00:48:34,42,1.2 - 3.5 µm,3.456,0.2117,0.0,0.0504,0.0,0.1371,0.4515,0.0006,2.5347,0.0011,0.0,0.823,0.015,0.2,223.55,136.5027,0.1995,0.0,0.0048,281.7829,0.2118,0.194,1.999,0.0,0.0602,0.0,1.8747,0.0,0.0,0.2062,0.0,0.0,2011-01-10 00:48:34
5090690,2011-12-26 15:31:19,42,3.5 - 10 µm,9.917,0.3543,0.0043,0.0306,0.085,0.16131,3.6576,0.0006,1.0956,0.0029,0.0,0.047,0.007,1.161,25.97,14.2991,0.181,0.9292,0.3585,0.0,1.0321,0.386,1.72,0.0065,0.0,0.0,35.6731,1.7031,0.0,0.0,0.0,103392.0,2011-12-27 20:14:31
7097740,2011-11-14 01:47:45,42,0.05 - 0.14 µm,12.338,0.5607,0.0092,0.016,0.0,0.10961,0.0028,0.0216,0.9014,0.0183,0.0,1.089,0.024,0.425,281.55,4.3557,0.4043,0.718,0.0048,78.1513,0.0072,0.27,2.66,0.0,0.0,0.0,3.4249,0.5778,2.866,0.2663,0.0,91860.0,2011-11-15 03:18:45
15398179,2010-01-11 16:30:00,42,0.42 - 1.2 µm,0.009,0.1856,0.0,0.0158,0.0481,0.64035,0.4074,0.0406,4.5061,0.0039,0.0,0.093,0.029,0.425,101.21,2.8034,0.0904,0.567,0.0048,0.0,0.2995,0.281,4.108,0.1645,0.0259,0.0,5.0881,45.3779,3.6236,0.743,0.0,0.0,2010-01-11 16:30:00
2243660,2011-02-11 00:20:08,42,1.2 - 3.5 µm,40.213,0.2089,0.0049,0.02,0.0,0.07408,0.2419,0.0006,2.7794,0.0029,0.0008,0.002,0.015,0.577,97.85,405.314,0.8032,0.741,0.0048,318.7563,0.0804,0.166,0.0,0.3004,1.948,0.0104,2.3359,0.0,0.0,0.0299,0.0,65243.0,2011-02-11 18:27:31
10516614,2010-01-26 15:45:10,42,3.5 - 10 µm,119.237,3.2766,0.0,0.0273,0.0363,0.06227,4.3602,0.1247,1.3065,0.0,0.0,0.106,0.0,1.388,38.43,5.4356,1.9305,0.6641,1.5087,0.0,0.2928,0.279,0.545,0.0,0.0,0.0,1.0316,0.5353,0.0,0.7701,0.0,12916.0,2010-01-26 19:20:26
12679959,2010-01-23 02:11:48,42,3.5 - 10 µm,37.933,0.2403,0.015,0.0983,0.0208,0.24128,2.2026,0.4232,3.1185,0.1297,0.0,0.0,0.306,0.494,2383.45,21.3163,0.5784,0.7015,1.8295,0.0,0.0072,0.345,2.872,0.0,0.0195,0.0992,1.9953,0.2097,0.0,0.0,0.0,105130.0,2010-01-24 07:23:58
10050436,2010-03-31 02:35:25,42,3.5 - 10 µm,12.883,0.0,0.0039,0.0047,0.006,0.20996,0.2173,0.4052,1.2747,0.0057,0.0019,0.148,0.0,0.263,1070.01,302.5662,0.0,0.7506,0.3074,1299.5553,1.5111,0.01,0.382,0.054,0.0,0.0056,156.6322,0.453,0.0,1.0902,1.639,83653.0,2010-04-01 01:49:38
12874303,2010-04-04 05:02:26,42,3.5 - 10 µm,38.658,0.0,0.0276,0.0001,0.5021,0.09604,0.0028,0.0006,2.9476,0.0238,0.0004,0.0,0.116,0.43,154.34,137.2148,32.426,2.3634,0.0048,0.0,0.0072,0.25,2.642,0.0,0.0794,0.0853,11.1072,0.0,0.0,1.847,0.0,72912.0,2010-04-05 01:17:38
9124239,2010-05-14 16:09:56,42,1.2 - 3.5 µm,10.934,0.2888,0.1177,0.028,0.0121,0.00125,6.128,0.074,1.2466,0.0025,0.0028,0.213,0.003,0.957,3.69,1.2274,0.0,0.0,1.0229,1529.4708,0.0072,0.302,1.825,0.0784,0.0538,0.0249,2.1238,0.2113,0.0,0.0,0.0,33569.0,2010-05-15 01:29:25
2788372,2010-04-05 17:24:38,42,0.14 - 0.42 µm,10.002,0.0,0.0,0.1464,0.0246,0.16621,0.1655,0.0006,0.3954,0.0855,0.0,0.517,0.027,0.232,12.66,21.8709,0.5599,0.7367,1.3897,1584.0022,0.0072,0.105,1.522,0.0,0.0198,0.2496,0.8928,0.0,0.0,7.0884,0.0,81078.0,2010-04-06 15:55:56
14800967,2012-02-20 11:58:00,42,1.2 - 3.5 µm,49.551,0.4312,0.0236,0.1173,0.4886,0.5877,3.7512,0.0006,0.0869,0.0732,0.0013,0.126,0.106,1.797,31.85,20.1613,0.0,0.6781,0.0048,105.3961,1.0155,0.123,1.511,0.0,0.0,0.0,49.9627,0.3896,0.0,4.2664,0.0,39487.0,2012-02-20 22:56:07
10094900,2010-05-14 15:47:49,42,0.42 - 1.2 µm,7.397,0.6911,0.0036,0.0001,0.1041,0.26614,0.6949,0.0619,0.3134,0.0006,0.0019,0.123,0.023,0.148,0.0,0.0,0.0117,0.378,0.0048,779.5736,0.4922,0.253,1.253,0.1287,0.0182,0.0008,5.2541,3.7332,0.0,1.0127,0.0,102101.0,2010-05-15 20:09:30
8259996,2011-04-21 23:30:59,42,1.2 - 3.5 µm,37.497,0.0,0.0266,0.1203,0.0221,0.16897,2.4544,0.0006,1.2655,0.003,0.0,0.242,0.021,1.491,206.03,12.6989,0.0,0.0091,2.5601,84.0679,0.0687,0.151,2.275,0.2917,0.0558,0.0082,4.1895,0.6272,0.0,0.4645,0.0,95318.0,2011-04-23 01:59:37
10786352,2010-02-12 01:49:14,42,0.14 - 0.42 µm,0.009,0.0361,0.0235,0.0176,0.0,0.40688,5.2623,0.08,4.4075,0.0067,0.0,0.044,0.118,0.266,175.25,25.3357,0.0,0.6073,0.0048,0.0,0.0072,0.189,0.0,0.1143,0.1239,0.0177,2.5473,0.2254,0.0,7.7352,0.0,100976.0,2010-02-13 05:52:10
13523264,2010-04-12 05:10:38,42,0.14 - 0.42 µm,3.881,0.0,0.0153,0.0154,0.1991,0.00982,17.5267,0.2207,0.142,0.0031,0.0,0.11,0.025,2.305,0.0,14.673,0.0,0.445,0.0048,0.0,0.0072,0.164,2.486,0.0,0.0065,0.0253,3.7681,0.0233,0.0,0.4274,0.017,0.0,2010-04-12 05:10:38
7896123,2012-02-20 11:58:00,42,0.05 - 0.14 µm,12.378,3.1166,0.0,0.0345,0.3266,1.11019,1.13,0.3896,0.3195,0.0567,0.0007,0.0,0.052,0.154,166.04,0.0,0.0,0.8228,0.0048,1185.0336,0.077,0.224,0.266,0.0,0.0149,0.0106,3.0163,0.0435,0.0,0.9704,0.0,88091.0,2012-02-21 12:26:11
11889395,2012-02-20 11:58:00,42,1.2 - 3.5 µm,0.452,1.0359,0.0,0.0168,0.0366,0.52002,0.2464,0.5601,0.5441,0.0467,0.0,0.109,0.018,1.265,3099.21,0.0,0.0,0.4485,1.0454,250.4998,0.0072,0.346,2.338,0.0,0.0,0.0567,2.705,0.4307,1.1979,0.0,0.0,80221.0,2012-02-21 10:15:01
3242494,2012-02-20 11:58:00,42,0.42 - 1.2 µm,15.27,0.0,0.0078,0.0001,0.0,0.01995,3.359,0.0742,0.9736,0.0096,0.0004,0.0,0.25,0.165,237.59,9.5789,0.0,0.233,0.0048,0.0,0.0072,0.146,0.407,0.3825,0.0135,0.0133,3.5946,0.5191,0.4894,0.0,0.0,0.0,2012-02-20 11:58:00
